Joe Martin Stage Race in Fayetteville AR Results

05/15/2005 Criterium Men Pro/Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,173639,Garrett,Peltonen,Fort Collins,CO,1:37:45,Advantage Benefits Endeavor Cycling Team
2,46244,Scott,Moninger,St Louis,MO,1:37:48,Health Net presented by Maxxis
3,0,Karl,Menzies,,,1:37:50,Advantage Benefits Endeavor Cycling Team
4,0,Ivan,Dominquez,,,1:38:14,Health Net presented by Maxxis
5,0,Jeff,Hopkins,,,1:38:14,Jittery Joes / Kalahari
6,0,Greg,Henderson,,,1:38:14,Health Net presented by Maxxis
7,178591,Eddy,Hilger,Lookout Mountain,GA,1:38:14,Advantage Benefits Endeavor Cycling Team
8,0,Charles,Dionne,,,1:38:14,Webcor Builders Cycling Team
9,150872,Winfield,Gibson,Tulsa,OK,1:38:14,New Moon Media/Spin Cycle
10,54591,Michael,Sayers,Fair Oaks,CA,1:38:14,Health Net presented by Maxxis
11,0,Viktor,Laza,,,1:38:14,Aerospace Engineering
12,119285,Ben,Raby,Boulder,CO,1:38:14,Bianchi/Grand Performance
13,133375,Michael,Olheiser,Huntsville,AL,1:38:14,Amateur Cycling Club of Memphis
14,0,Mike,Jones,,,1:38:14,Health Net presented by Maxxis
15,48408,John,Lieswyn,Davis,CA,1:38:14,Health Net presented by Maxxis
16,127087,Eric,Murphy,Athens,GA,1:38:14,Aerospace Engineering
17,68842,Gordon,Fraser,Tucson,AZ,1:38:14,Health Net presented by Maxxis
18,127344,James,Mattis,Mountain View,CA,1:38:14,Webcor Builders Cycling Team
19,83401,Todd,Wells,Durango,CO,1:38:14,GT/Hyundai
20,164362,Frank,Pipp,Longmont,CO,1:38:14,Advantage Benefits Endeavor Cycling Team
21,0,Clemente,Cavaliere,,,1:38:14,Aerospace Engineering
22,0,Ben,Brooks,,,1:38:14,Jelly Belly / Poolgel
23,184181,Justin,England,Boulder,CO,1:38:14,Health Net presented by Maxxis
24,0,Richard,England,,,1:38:14,Advantage Benefits Endeavor Cycling Team
25,73305,Danny,Pate,Colorado Springs,CO,1:38:14,Jelly Belly / Poolgel
26,52790,Christopher,Wherry,Durango,CO,1:38:14,Health Net presented by Maxxis
27,0,Dustin,MacBurnie,,,1:38:14,Broadmark Capital
28,179205,Tom,Burke,Middleville,MI,1:40:35,West Michigan Coast Riders
29,180136,Hugh,Moran,Asheville,NC,1:40:44,Aerospace Engineering
30,132539,Charles,Huff,Springfield,MO,1:40:44,Mercy
31,199458,Janne,Hamalainen,Tulsa,OK,1:41:25,Tulsa Wheelmen
32,11226,Glenn,Fant,Santa Rosa,CA,1:43:45,Monex
33,31700,James,Schneider,Henderson,NV,1:43:45,AG Edwards
34,175718,Ian,Stanford,Minneapolis,MN,1:43:45,Flat City Cycling Club
35,126190,Brian,Dziewa,Saint Louis,MO,1:43:45,Mercy
36,9007,Carl,Decker,Bend,OR,1:43:45,Broadmark Capital
37,222300,Solomon,Woras,Winthrop,WA,1:43:45,Broadmark Capital
38,151694,Blake,McMahon,Tulsa,OK,1:43:45,Team Power Train
39,199890,Christian,Reidys,Los Alamos,NM,1:43:45,Colavita Bolla Taos
