Cherry Pie Criterium in Napa CA Results

02/12/2006 Criterium Men Pro/Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,0,Karl,Menzies,,,,Healthnet
2,0,Martin,Gilbert,,,,Kodak-Sierra Nevada
3,0,Glen,Mitchell,,,,Anderson Hmes
4,120588,Sterling,Magnell,Santa Rosa,CA,,UCI CT:  Toyota- United Pro Cycling Team
5,4838,Patrick,Briggs,Santa Barbara,CA,,California Giant Cycling
6,56910,Kirk,O'Bee,Ada,MI,,UCI PCT: Health Net presented by Maxxis
7,42023,Jackson,Stewart,San Jose,CA,,UCI CT: Kodakgallery.com/Sierra Nevada P
8,158088,Steven,Cozza,Petaluma,CA,,
9,55123,Scott,Derdenger,Benicia,CA,,Mako/Galaxy Granola
10,79101,Eric,Easterling,Fresno,CA,,Central Valley Cycling
11,67041,Dean,LaBerge,Napa,CA,,Six Fifty Racing
12,40703,Brian,Bosch,Fresno,CA,,Central Valley Cycling
13,153790,Roman,Kilun,Oakland,CA,,UCI PCT: Health Net presented by Maxxis
14,144669,Jason,Klikna,Merced,CA,,BMC Racing Team
15,20154,Brian,Laird,Menlo Park,CA,,Labor Power
16,97504,Darin,Divine,Fairfax,CA,,Six Fifty Racing
17,191302,Eric,Riggs,Antelope,CA,,SF Velosport
18,0,Aliaksaid,Sinelnikan,,,,
19,0,Pat,PUman,,,,
20,195783,Joe,Iannarelli,Vacaville,CA,,Davis Bike Club
21,195220,Clint,Rogers,Sacramento,CA,,McGuire Cycling Team
22,40450,William,Hudak,Sunnyvale,CA,,Six Fifty Racing
23,152187,Lance,Doherty,Berkeley,CA,,Team Spine
24,57836,Paul,Penn,Hayward,CA,,RHVilla.com/Montano Velo
25,186029,Eric,Walle,Boise,ID,,Solano Avenue Cyclery Racing
26,186698,Michael,Buckley,Reno,NV,,Team Spine
27,139348,Ryan,Ramos,Berkeley,CA,,Team Spine
28,30110,Philip,Roberts,Oakland,CA,,Metromint Cycling
29,196267,Doran,Mori,Oakland,CA,,Solano Avenue Cyclery Racing
30,0,Bob,Newman,,,,
31,15835,Todd,Hennings,Carnelian Bay,CA,,Delta Velo
32,210384,Dave,Galvin,Menlo Park,CA,,BMC Racing Team
33,188253,Aaron,Beardsley,Berkeley,CA,,Unattached
34,127093,Adam,Switters,Citrus Heights,CA,,Six Fifty Racing
35,109435,Keith,Szolusha,Saratoga,CA,,Delta Velo
37,23057,Benjamin,Jacques-Maynes,Corralitos,CA,,UCI CT: Kodakgallery.com/Sierra Nevada P
38,0,Sean,McBride,,,,
39,177745,Benjamin,Haldeman,Santa Barbara,CA,,Santa Cruz Spokesman
40,157409,Allen,Vugrincic,Palo Alto,CA,,ABD Cycle Club
41,54895,Dennis,Hopp,San Jose,CA,,Los Gatos Bicycle Racing Club
42,171882,Andres,Gil,Stockton,CA,,Delta Velo
43,195652,Max,Jenkins,Davis,CA,,California Giant/Village Peddler
44,197820,Christian,Kearney,Oakland,CA,,RHVilla.com/Montano Velo
46,157044,Alton,Dunnigan,San Rafael,CA,,Team Spine
47,54591,Michael,Sayers,Fair Oaks,CA,,UCI PCT: Health Net presented by Maxxis
48,52948,Jeffrey,Caton,Lakeport,CA,,California Road Club
49,32485,Takumi,Shimomura,Berkeley,CA,,3BRT
50,89367,Wayne,Puckett,San Francisco,CA,,Team Spine
51,31332,Mark,Sasser,Fresno,CA,,Central Valley Cycling
52,0,bidov,Dzmitry,,,,
53,53501,Herman,Johnson,Modesto,CA,,California Giant Cycling
54,204715,Scott,Fonseca,Fair Oaks,CA,,EMC2/Vellum Cycles
55,188630,Nicholas,Hight-Huf,Goleta,CA,,Webcor/Alto Velo
56,196229,Dominic,Giampaolo,Lewiston,ME,,Webcor/Alto Velo
57,47519,Kevin,Metcalfe,Pleasant Hill,CA,,Pacific Coast Cycling Club
58,196277,Jesse,Mendonca,San Jose,CA,,RHVilla.com/Montano Velo
59,173639,Garrett,Peltonen,Fort Collins,CO,,UCI PCT: Health Net presented by Maxxis
60,534,Michael,Lepie,Berkeley,CA,,East Bay Velo Club
61,13001,Vincent,Gee,Sacramento,CA,,Pacific Coast Cycling Club
63,187522,John,Bergmann,Albany,CA,,Metromint Cycling
64,181725,Daniel,Holloway,Boulder,CO,,Six Fifty Racing
66,133288,Stephen,Reaney,Santa Cruz,CA,,California Giant Cycling
67,0,Jason,Allen,,,,KOdak-Sierra Nevada
68,221273,Giancarlo,Checchi,Santa Rosa,CA,,UCI CT: Team Monex
69,0,Dominique,Perras,,,,Kodak-Sierra Nevada

02/12/2006 Criterium Men Master MR 35-99
Place,License #,First,Last,City,State,Time,Team
1,67041,Dean,LaBerge,Napa,CA,,Six Fifty Racing
2,133288,Stephen,Reaney,Santa Cruz,CA,,California Giant Cycling
3,26205,Lawrence,Nolan,Fremont,CA,,AMD Masters Cycling Team
4,20154,Brian,Laird,Menlo Park,CA,,Labor Power
5,13001,Vincent,Gee,Sacramento,CA,,Pacific Coast Cycling Club
6,40039,Mark,Caldwell,Moraga,CA,,Team Spine
7,31332,Mark,Sasser,Fresno,CA,,Central Valley Cycling
8,79101,Eric,Easterling,Fresno,CA,,Central Valley Cycling
