Dave Wollet Memorial Criterium in Williamsport PA Results

08/13/2006 Criterium Men Cat 4/5
Place,License #,First,Last,City,State,Time,Team
1,238217,Adam,Farabaugh,Boulder,CO,,Tioga Velo Club
2,227437,Brandon,Sisino,Brookline,MA,,Susquehanna Valley Velo Club
3,115510,Ronald,Marquette,Mifflinburg,PA,,Unattached
4,221287,Adam,Kahler,Bakersfield,CA,,Bucknell University Cycling
5,238422,Luke,Zagurski,Oakland,FL,,Orlando Road Club
6,214160,Aaron,Stabley,Jersey Shore,PA,,Susquehanna Valley Velo Club
7,232948,Jerrel,Brubaker,Lewisburg,PA,,Unattached
8,54649,Christopher,Plankenhorn,Montoursville,PA,,Susquehanna Valley Velo Club
9,211081,Steve,Beyer,Orangeville,PA,,Susquehanna Bicycle Racing Team
10,55721,William,Walker,York,PA,,First Capital Velo
11,241966,Ayodele,Stephenson,West Palm Beach,FL,,Upstate Velo
12,71918,Arthur,Nissen,Bloomsburg,PA,,Susquehanna Bicycle Racing Team
13,55729,Glenn,Walker,York,PA,,First Capital Velo
14,208461,Bill,Wittman,Coatesville,PA,,Main Line Cycling Club (MLC)
16,53007,Timothy,Wynn,Danville,PA,,Susquehanna Bicycle Racing Team
17,92166,Mark,Croneberger,Auburn,PA,,Susquehanna Bicycle Racing Team
18,0,Brian,Klotz,,,,Unattached
19,205125,John,Smertneck,Neptune,NJ,,Atlantic Bicycle Club
20,77672,William,Kalman,Bethlehem,PA,,Lehigh Wheelmen Assoc

08/13/2006 Criterium Men Cat 3/4
Place,License #,First,Last,City,State,Time,Team
1,46483,David,Bonser,Wind Gap,PA,,Gotham Cyclists
2,223324,Brian,Smith,York,PA,,World Cup Ski & Cycle Cycling Team
3,45371,Patrick,Gellineau,Brooklyn,NY,,Team Squiggle
4,214212,Jesse,Gydosh,Wyoming,PA,,Upstste Velo
5,199064,Brian,Ursu,Bethlehem,PA,,Gotham Cyclists
6,0,Geron,Williams,,,,Continental Cycle Club
7,51379,Drew,Jubis,Shickshinny,PA,,Hot Tamales Cycling
8,158835,Samuel,Baum,Wellsville,PA,,Allegheny Cycling Association
9,92499,Charles,Denton,Raleigh,NC,,White Rose Racing
