Allanti Cycling Classic & Bike Pedlar Criterium in Nashville TN Results

08/06/2006 Criterium Men Pro/Cat 1/2 Senior
Place,License #,First,Last,City,State,Time,Team
1,54521,Steven,Carpenter,Chattanooga,TN,,Middle Tennessee Velo
2,176666,John,Hayes,Cleveland,TN,,Century Road Club Association
3,127087,Eric,Murphy,Athens,GA,,AEG-Toshiba
4,206929,Daniel,Karnis,Atlanta,GA,,Aaron's/L5Flyers
5,59328,James G,Wenzel,Auburn,AL,,Velo Voodoo
6,141477,John,Hart,Murfreesboro,TN,,Scenic City Velo
7,171328,Philip,Martindale,Nashville,TN,,Team Gran Fondo/Bianchi
8,47541,Arthur,Critser,Huntsville,AL,,Spring City Cycling Club
9,146455,Bradley,Spears,Oak Ridge,TN,,Team Gran Fondo/Bianchi
10,95116,Derek,Kidd,Greenwood,SC,,Reality Bikes
11,93595,Jason,Peters,Chattanooga,TN,,Scenic City Velo

08/06/2006 Criterium Men Junior JR 10-18
Place,License #,First,Last,City,State,Time,Team
1,186220,Bennett,Farkas,Franklin,TN,,TriStar Cycling Team
2,248155,C Bryant,Crabtree,Clarksville,TN,,Clarksville Cycling
3,0,Sondra,Thorbergsen,,,,Tri Cities Road Club
4,247283,Ryan,Bartholomy,Owensboro,KY,,Ohio Valley Velo
5,227516,Jonathan,Crowson,Oak Ridge,TN,,Knox Velo Club
6,223542,Aubrey,Moore,Nashville,TN,,TriStar Cycling Team
7,223543,Luke,Farkas,Franklin,TN,,TriStar Cycling Team
8,250979,Dane,Van Ryckeghem,Franklin,TN,,TriStar Cycling Team
9,233535,Max,Gander,Nashville,TN,,Unattached
10,230419,Jason,Els,Ooltewah,TN,,Scenic City Velo
11,248795,Jenks,Parker,Lookout Mountain,GA,,Scenic City Velo
12,244949,Evan,Powell,Primm Springs,TN,,TriStar Cycling Team
13,248797,Robert,Parker,Lookout Mountain,GA,,Scenic City Velo
14,247927,Austin,Webb,Goodlettsville,TN,,Team Bikers Choice

08/06/2006 Criterium Men Cat 1/2/3/4/5 Master
Place,License #,First,Last,City,State,Time,Team
1,135190,David,Thomas,Knoxville,TN,,Southern Cycling Operations (SCO)
2,46705,S Durward,Higgins,Chattanooga,TN,,Scenic City Velo
3,214954,Joe,Saferight,Springfield,TN,,TN Wheelmen
4,0,Don,Shuemaker,,,,Unattached

08/06/2006 Criterium Men Cat 1/2/3/4 Master 30-39
Place,License #,First,Last,City,State,Time,Team
1,59074,James,Milne,East Point,GA,,Tupelo Bicycle Club
2,212538,Andrew,Clarke,Medina,OH,,Scenic City Velo
3,139665,Cayce,Tiesler,Pegram,TN,,Team Gran Fondo/Bianchi
4,127452,Tony,Scott,East Point,GA,,Memorial Health/Team One
5,145965,Ron,Swope,East Ridge,TN,,Scenic City Velo
6,76393,Kevin,Hinson,Nashville,TN,,Team Gran Fondo/Bianchi
7,194467,Trent,Long,Alcoa,TN,,Knox Velo Club
8,13489,Heath,Goebel,Huntsville,AL,,Spring City Cycling Club
9,178170,John,Kidd,Knoxville,TN,,Knox Velo Club

08/06/2006 Criterium Men Cat 1/2/3/4 Master 40-49
Place,License #,First,Last,City,State,Time,Team
1,48516,Douglas,Pomeranz,Encinitas,CA,,Velo Voodoo
2,28132,Marty,Pierce,Clarksville,TN,,Team Gran Fondo/Bianchi
3,6251,Steven,Carrell,Norcross,GA,,Memorial Health/Team One
4,180492,Kevin,Frantz,Nashville,TN,,TriStar Cycling Team
5,45633,Vincent,Maggioni,Savannah,GA,,Memorial Health/Team One
6,55723,David,Green,Savannah,GA,,Memorial Health/Team One
7,64082,David Carl,Jones,Germantown,TN,,Memphis Velo Smith & Nephew Cycling Club
8,59328,James G,Wenzel,Auburn,AL,,Velo Voodoo
9,50141,Robert,Gregory,Brentwood,TN,,Team Gran Fondo/Bianchi
10,31640,John,Schmidt,Cordova,TN,,Memphis Velo Smith & Nephew Cycling Club
11,155337,Chris,Dow,Madison,AL,,Team Bikers Choice
12,156098,Tom,Foster,Murfreesboro,TN,,Middle Tennessee Velo
13,57239,Steven,Swann,Huntsville,AL,,Spring City Cycling Club
14,66503,Gregory,Palevo,Clarksville,TN,,Team Bikers Choice
15,60179,Steven,Lewis,Chattanooga,TN,,Scenic City Velo

08/06/2006 Criterium Men Cat 1/2/3/4 Master 50-59
