Tour de Christiana in Lancaster PA Results

08/12/2007 Criterium Men Cat 1/2/3
Place,License #,First,Last,City,State,Time,Team
1,65819,Bobby,Lea,Mertztown,PA,,Toyota-United Pro Cycling Team
2,0,Anibal,Barrajo,,,,Rite Aid Pro Cycling Team
3,132649,Christopher,Ruhl,State College,PA,,Team Alliance Environmental
4,165571,Jared,Babik,Pittsburgh,PA,,Meredith Group-GPOA/Cannondale
5,52850,Colby,Pearce,Boulder,CO,,Cody Racing
6,220839,Lisban,Quintero,New York,NY,,CRCA / Empire Cycling Team
7,179451,Gavriel,Epstein,Englewood,NJ,,CRCA/Sakonnet Technology U25
8,0,Clay,Murfet,,,,Fuji
9,155889,David,Bozak,Hollidaysburg,PA,,Clean Currents p/b Don Beyer Volvo
10,166662,Tucker,Brown,Fleetwood,PA,,PA Lightening
11,205871,John,Parks,Warrenton,VA,,Haymarket Bicycles
12,204958,Daniel,Zmolik,New York,NY,,CRCA / Empire Cycling Team
13,0,Alex,Bhogal,,,,mazurcoaching.com
14,198408,Sean,Barrie,Washington,DC,,Battley Harley-Davidson/Hudson Trail
15,168991,Glenn,Murray,Abington,PA,,KBS/LSV Amateur Cycling
16,119361,Colin,Sandberg,Philadelphia,PA,,Meredith Group-GPOA-Cannondale
17,197488,Daniel,Wilson,Cliffside Park,NJ,,Monstr Health Cycling
18,198410,Brady,Gibney,Philadelphia,PA,,Team Clif Bar Midwest
19,183978,Igor,Misicki,Locust Valley,NY,,Foundation
20,223454,David,Hoyle,Newington,CT,,Guys Racing
21,57369,Eugene,Boronow,Tucson,AZ,,GS Mengoni
22,177933,Joseph,Whitman,State College,PA,,Team Alliance Environmental
23,0,Andrew,Nichol,,,,Mazurcoaching.com
24,159158,Jonathan,Bruno,Boston,MA,,Independent Fabrication
25,214352,Adam,Branfman,Portland,OR,,Independent Fabrication
26,200561,Alvaro,Arnal,King Of Prussia,PA,,Human Zoom/Pabst Blue Ribbon
27,177291,Paul,Mica,Alexandria,VA,,NCVC/Inova Health System
28,54332,A,Stamp,Lancaster,PA,,Swashbuckler Brewing Company/PARenfair.c
29,196660,Nick,Pakulla,Ellicott City,MD,,KBS/LSV Amateur Cycling
30,47769,John,Loehner,New York,NY,,CRCA / Empire Cycling Team
31,89537,Michael,Beers,Kutztown,PA,,Rite Aid Professional Cycling Team
32,3304,Ramon,Benitez,Glenwood,MD,,IMMEDIATE MORTGAGE - ARTEMIS ELITE
33,143088,Jason,Meidhof,Pasadena,CA,,NCVC/Inova Health System
34,38957,Wayne,Work,Lancaster,PA,,Swashbuckler/PARenfair.com
35,216108,Fredrik,Andersson,Falls Church,VA,,NCVC/Inova Health System
36,230448,Jonathan,Chodroff,Kennett Square,PA,,Merideth Group/GPOA/Cannondale
37,179015,John,Minturn,State College,PA,,Meredith Group-GPOA-Cannondale
38,121621,Tyler,Wren,Burlington,VT,,Colavita/Sutter Home
39,238008,Alejandro,Guzman,New York,NY,,CRCA / Empire Cycling Team
40,60238,Russell,Blake,Dover,PA,,Monstr Health Cycling Team
41,186882,Chad,Young,Lititz,PA,,Monstr Health Cycling Team
42,201349,Turner,Johnson,Oakland,CA,,Meredith Group-GPOA-Cannondale

08/12/2007 Criterium Men Cat 4
Place,License #,First,Last,City,State,Time,Team
1,233056,Kevin,Young,Colorado Springs,CO,,Bicycle Place Velo Club
2,223455,Kyle,Centrella,Paoli,PA,,Chester County Velo - Iron Hill Brewery
3,247427,Win,Elliot,Kensington,MD,,N/A
4,163272,Andrew,Johnson,Parkesburg,PA,,Team Cycle Works
5,226753,Martin,Mrugal,West Chester,PA,,Chester County Velo/Iron Hill
6,211296,Jim,Godshall,Lansdale,PA,,Guys Racing
7,208650,Matt,Tebbe,Alpharetta,GA,,Route 1 Velo/Capitol Hill Bikes
8,212535,Michael,Retzlaff,Baltimore,MD,,Kelly Benefits/Lateral Stress Velo
9,20424,John,Larson,Alexandria,VA,,Squadra Coppi/IM Saab
