Tour of Walla Walla in Walla Walla WA Results

04/22/2007 Criterium Men Pro/Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,0,Remi,Mcmanus,,,0:59:48,Benaroya Research Institute
2,91018,Matt,Weyen,Boise,ID,0:59:48,Team bobs-bicycles.com
3,179186,Chad,Nikolz,Seattle,WA,0:59:51,Hagens Berman
4,52797,Timothy,Root,Boise,ID,0:59:51,BODE
5,62530,Ryan,Miller,Seattle,WA,0:59:51,Toyota United
6,0,Daniel,Macdonald,,,0:59:51,Masi-Adobe
7,26740,William (Bill),Olson,Hailey,ID,0:59:51,Sun Valley Road & DI
8,207934,Brian,Nelson,Spokane,WA,0:59:51,First Rate Mortgage
9,0,Tim,Abercrombie,,,0:59:51,Escape Velocity
10,0,Kevin,Noiles,,,0:59:51,Trek Red Truck Racing
11,43087,Michael,Gallagher,Portland,OR,0:59:51,Team bobs-bicycles.com
12,12680,Todd,Gallaher,Seattle,WA,0:59:51,AVA/Counterbalance
13,170203,Grant,Boursaw,Clatskanie,OR,0:59:51,Gregg's Lemond
14,0,Jeff,Castenmiller,,,0:59:51,Trek Red Truck Racing
15,148088,Adrian,Hegyvary,Asheville,NC,0:59:51,Hagens Berman
16,190844,Shawn,Howard,Colbert,WA,0:59:51,Vertical Earth
17,81509,Donald,Reeb,Keizer,OR,0:59:51,CMG-Racing
18,119001,Michael,Murdin,Bothell,WA,0:59:51,Garage Racing
19,0,Garth,White,,,0:59:51,Trek Red Truck Racing
20,225787,Steven,Beardsley,Portland,OR,0:59:51,CMG-Racing
21,11775,John,Flack,Olympia,WA,0:59:51,Valley Athletic
22,208321,Sam,Johnson,Boise,ID,0:59:51,Hagens Berman
23,0,Paul,Beard,,,0:59:51,Escape Velocity
24,197055,Adam,Blanchard,Salt Lake City,UT,0:59:51,Therapeutic Associat
25,201081,Ted,Burgess,Boise,ID,0:59:51,Intermount Orthopaedics
26,201585,Daniel,Quirk,Petaluma,CA,0:59:51,Veloce / Felt Racing
27,111313,Ian,Tubbs,Bellevue,WA,0:59:51,Hagens Berman
28,197580,Andrew,Fischer,Missoula,MT,0:59:51,Hagens Berman
29,0,Dave,Vukets,,,0:59:51,Trek Red Truck Racing
30,208222,James,Stangeland,Seattle,WA,0:59:51,AxleyUSA.com / Siegler Sports
31,0,Ryan,Anderson,,,0:59:51,Trek Red Truck Racing
32,220235,Shawn,Ongers,Walla Walla,WA,0:59:51,AxleyUSA.com / Siegler Sports
33,209124,Brad,Morgan,Belgrade,MT,0:59:51,GAS/Intrinsik
34,227593,Justin,Rose,Middleton ,ID,0:59:51,Team bobs-bicycles.com
35,52094,Hugo,Fregoso,Boise,ID,0:59:51,Intermount Orthopaedics
36,227264,Joseph,Wiley,Yorba Linda,CA,0:59:51,AxleyUSA.com / Siegler Sports
37,195442,Nathan,Smith,Signal Mountain,TN,0:59:51,Garage Racing
38,200386,Nicholas,Clayville,Lake Tapps,WA,0:59:51,Hagens Berman
