Modesto Criterium in Modesto CA Results

05/17/2008 Criterium Men Pro/Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,0,viktor,rhpinski,,,00:00:00.00,
2,253101,Chris,Turner,Los Altos,CA,00:00:00.00,Page Mill Racing
3,181725,Daniel,Holloway,Boulder,CO,00:00:00.00,VMG-FELT
4,196337,Alexander,Wick,Davis,CA,00:00:00.00,Davis Bike Club
5,190594,Kevin,King,Hayward,CA,00:00:00.00,Contra Costa Cycling Club
6,187522,John,Bergmann,Albany,CA,00:00:00.00,BPG/Montano Velo
7,171882,Andres,Gil,Stockton,CA,00:00:00.00,Delta Velo
8,218511,Peter,Graf,Sacramento,CA,00:00:00.00,Wells Fargo Racing Team
9,227794,Benjamin,Lyon,Brooklyn,NY,00:00:00.00,McGuire Cycling Team
10,55803,Tim,Granshaw,Lakeway,TX,00:00:00.00,Sierra Pacific Racing
11,130973,Darren,Basso,San Rafael,CA,00:00:00.00,McGuire Cycling Team
12,209459,Erick,Pierce,Berkeley,CA,00:00:00.00,McGuire Cycling Team
13,169701,Tom,Skiles,Salinas,CA,00:00:00.00,MBRT
14,42770,Ryan,Wong,San Jose,CA,00:00:00.00,Los Gatos Bicycle Racing Club
15,180146,Nicholas,Agate,Albany,CA,00:00:00.00,California Giant Cycling
16,167796,Adam,Ross,Folsom,CA,00:00:00.00,Wells Fargo Racing Team
17,47424,Christopher,Baker,Sacramento,CA,00:00:00.00,EMC2
18,80116,James,Hardy,Houston,TX,00:00:00.00,Team Oakland Cycling
19,44296,Dylan,Seguin,Boise,ID,00:00:00.00,TEAM CLIF BAR Cycling
20,157044,Alton,Dunnigan,San Rafael,CA,00:00:00.00,McGuire Cycling Team
21,195783,Joe,Iannarelli,Vacaville,CA,00:00:00.00,Davis Bike Club
22,188747,Todd,Paoletti,Mill Valley,CA,00:00:00.00,CCB/Volkswagon
23,186029,Eric,Walle,Boise,ID,00:00:00.00,Team Clif Bar Cycling
24,93626,Paul,Estabrook,Sacramento,CA,00:00:00.00,EMC2-Felt
25,187194,Randy,Bramblett,Oakland ,CA,00:00:00.00,BPG/Montano Velo
26,247680,Neil,Harrington,Los Altos Hills,CA,00:00:00.00,Alto Velo Racing Club
27,71865,David,Loogman,Modesto,CA,00:00:00.00,EMC/Felt
28,28083,Gregory,Phipps,Pleasanton,CA,00:00:00.00,Echelon Velo
29,0,UNKNOWN,RIDER,,,00:00:00.00,
30,243988,Cory,Greenberg,Simi Valley,CA,00:00:00.00,NOW- MS SOCIETY
31,220316,Joel,Robertson,San Leandro,CA,00:00:00.00,Sierra Pacific Racing
32,43613,Mark,Deterline,Salt Lake City,UT,00:00:00.00,Wells Fargo Racing Team
33,196267,Doran,Mori,Oakland,CA,00:00:00.00,Team Clif Bar Cycling
34,195433,Christopher,Carey,San Francisco,CA,00:00:00.00,McGuire Cycling Team
35,197844,Jonathan,Eropkin,Fresno,CA,00:00:00.00,VOS Racing
36,63475,Forrest,Koenig,San Anselmo,CA,00:00:00.00,TEAM CLIF BAR Cycling
37,212393,Jenson,Lee,Saratoga,CA,00:00:00.00,Los Gatos Bicycle Racing Club
38,79101,Eric,Easterling,Fresno,CA,00:00:00.00,Sierra Pacific Racing
39,40703,Brian,Bosch,Fresno,CA,00:00:00.00,Sierra Pacific Racing
40,220077,Zack,Sober,San Ramon,CA,00:00:00.00,Contra Costa Cycling Club
41,28533,Jeff,Poulsen,Bend,OR,00:00:00.00,VOS Racing
42,63450,Matthew,Tamel,San Francisco,CA,00:00:00.00,BPG/Montano Velo
DNP,187432,David,Del Rosso,Dublin,CA,00:00:00.00,EMC2 / FELT
DNP,51411,Richard,Snodsmith,San Francisco,CA,00:00:00.00,Team Clif Bar Cycling
DNP,212376,John,Trefethen,Danville,CA,00:00:00.00,International Christian Cyclin
DNP,207165,Scott,Cole,Oakland,CA,00:00:00.00,Team Oakland Cycling
DNP,204574,Coby,Horton,Bend,OR,00:00:00.00,Sierra Pacific Racing
DNP,243069,Dylan,Clark,Auburn,CA,00:00:00.00,BPG/Montano Velo
DNP,83306,John,Fairbanks,Sacramento,CA,00:00:00.00,Team Bicycles Plus/NorthRim
DNF,195470,Kyle,Glerum,Emerald Hills,CA,Inc.,Pedali Alpini

05/17/2008 Criterium Men Master MR 45-99
Place,License #,First,Last,City,State,Time,Team
1,94897,Bernard,Silveria,El Dorado Hills,CA,00:00:00.00,Unattached
2,32554,Steve,Showler,Carmichael,CA,00:00:00.00,Armstrong Assoc / FCI Lending
3,221460,Jess,Raphael,Napa,CA,00:00:00.00,VOS Racing
4,74410,Dean,Knudsen,Pacific Grove,CA,00:00:00.00,Don Chapin Monterey Bay Racing
5,71186,Richard,Juarez,Mill Valley,CA,00:00:00.00,VOS Racing
6,43936,R Todd,Marshall,Sacramento,CA,00:00:00.00,Armstong & Assoc./ FCI Lending
7,269290,Scott,Winzeler,Las Vegas,NV,00:00:00.00,Liquid Fitness Reno Racing
8,0,Norm,Kreiss,,,00:00:00.00,Unattached
9,136971,Garry,Birch,Dublin,CA,00:00:00.00,Fremont Freewheelers
10,240458,Roger,Von Rotz,Modesto,CA,00:00:00.00,VSRT/Livermore Cyclery
11,16603,Mark,Holmes,Turlock,CA,00:00:00.00,Stanislaus/Merlock Velo
12,86651,Spencer,Kenner,Davis,CA,00:00:00.00,Armstrong
13,0,Steve,Blakemore,,,00:00:00.00,Uattached
14,205116,Erim,Taser,Lodi,CA,00:00:00.00,Pacific State Bank
15,0,UNKNOWN,RIDER,,,00:00:00.00,
16,46441,John,Bellantoni,San Jose,CA,00:00:00.00,Alto Velo Racing Club
17,47303,Chris,Courtney,Oakdale,CA,00:00:00.00,Unattached
18,19484,George,Knott,Clovis,CA,00:00:00.00,Central Valley Cycling
19,195261,Rocco,Hollaway,Modesto,CA,00:00:00.00,VSRT
20,53815,Jeffrey,Purcell,Hughson,CA,00:00:00.00,Team Mako
21,92552,Mark,Patten,San Jose,CA,00:00:00.00,Clean Racer
22,109066,Brian,McCleary,Sacramento,CA,00:00:00.00,Armstrong & Assoc./ FCI Capito
DNS,38154,Scott,Wielt,San Rafael,CA,00:00:00.00,Armstrong Assoc/FCI Lending
DNP,274160,Max,Amara,Fresno,CA,00:00:00.00,Action Sports/SSC Racing Team/
DNP,60756,Steven,Grusis,Madera,CA,00:00:00.00,Action Sports/SSC Racing Team
DNP,272195,Mark,Johansen,Riverbank,CA,00:00:00.00,InfoVista cycling team

05/17/2008 Criterium Men Master MR 55-99
Place,License #,First,Last,City,State,Time,Team
1,150815,Dana,Farmer,Gold River,CA,00:00:00.00,TUESDAY VELO
2,12682,Ernest,Gallardo Sr,Greenfield,CA,00:00:00.00,Vos Racing
3,195417,Larry,Upthegrove,Antioch,CA,00:00:00.00,InfoVista Cycling Team
4,254360,Manuel,Borges,Vacavaille,CA,00:00:00.00,Team Precision
5,30269,Mark,Rodamaker,Los Altos,CA,00:00:00.00,Webcor/Alto Velo
6,53052,David,Stockwell,San Jose,CA,00:00:00.00,SJBC/SugarCRM

05/17/2008 Criterium Men Cat 4/5
Place,License #,First,Last,City,State,Time,Team
1,251301,Nole,Studley,Oakland,CA,00:00:00.00,Roaring Mouse Cycles
2,120501,David,Mayer,Portola Valley,CA,00:00:00.00,Third Pillar
3,243257,David,Mesa,Crockett,CA,00:00:00.00,squeky chains
4,221552,Timothy,Bisson,San Jose,CA,00:00:00.00,Fremont Freewheelers
5,198414,Todd,Kohli,San Francisco,CA,00:00:00.00,Metromint Cycling
6,254515,Keith,Jordon,Hayward,CA,00:00:00.00,Berkeley Bicycle Club (BBC)
7,256787,Mike,Gratz,Pleasant Hill,CA,00:00:00.00,CA POOLS
8,276108,Keith,Hillier,Millbrae,CA,00:00:00.00,Mad Cat Bicycles
9,257119,Maurice,Monge,San Jose,CA,00:00:00.00,SJBC/SugarCRM
10,236809,Alvaro,Mosquera,Sacramento,CA,00:00:00.00,Berkeley Bicycle Club (BBC)
11,209268,Neil,Bartley,San Jose,CA,00:00:00.00,Berkeley Bicycle Club (BBC)
12,224241,Chris,Dawson,Sacramento,CA,00:00:00.00,Team City Sacramento
13,0,UNKNOWN,RIDER,,,00:00:00.00,
14,224232,German,Villa,San Lorenzo,CA,00:00:00.00,Berkeley Bicycle Club (BBC)
15,239746,Tim,Butler,Clovis,CA,00:00:00.00,Sierra Pacific Racing
16,237997,Will,Rose,San Francisco,CA,00:00:00.00,squeky chains
17,270965,Kenny,Strickland,San Ramon,CA,00:00:00.00,InfoVista Cycling Team
18,237380,Mark,Robertson,Oakland,CA,00:00:00.00,Synergy-Taleo Racing
19,274643,Taylor,Bertrand-Barrett,Sonoma,CA,00:00:00.00,colavita
20,240890,Caden,Taylor,San Diego,CA,00:00:00.00,Form Fitness
21,255819,Daniel,Felix,Fresno,CA,00:00:00.00,Action Sports/SSC Cycling Team
22,231855,Peter,Tousignant,Belmont,CA,00:00:00.00,Third Pillar
23,271541,Nicholas,Oliver,Carmichael,CA,00:00:00.00,Rio Strada Racing
24,0,UNKNOWN,RIDER,,,00:00:00.00,
25,275120,Cameron,Walker,Sacramento,CA,00:00:00.00,CMT
26,0,UNKNOWN,RIDER,,,00:00:00.00,
27,205213,Robert,Miller,Pleasant Hill,CA,00:00:00.00,Synergy-Taleo Racing
28,200172,Justin,Dowdall,San Francisco,CA,00:00:00.00,Metromint
29,250497,Matthew,Gregory,Escalon,CA,00:00:00.00,InfoVista Cycling Team
30,266612,Ryan,Byars,Durham,NC,00:00:00.00,Roaring Mouse Cycles
31,261766,Christopher,Bosch,San Francisco,CA,00:00:00.00,alto velo
32,0,UNKNOWN,RIDER,,,00:00:00.00,
33,273437,Mike,Brunetti,Escalon,CA,00:00:00.00,NA
34,238365,Benjamin,Stern,Mequon,WI,00:00:00.00,Roaring Mouse Cycles
35,180563,Brian,Agnell,Sacramento,CA,00:00:00.00,Rio Strada Racing
36,232794,Matt,Millar,Stockton,CA,00:00:00.00,Pacific State Bank
37,0,John,Morris,,,00:00:00.00,Stanislaus/Merlock Velo
38,241922,Cesar,Anaya,Fresno,CA,00:00:00.00,Herb Bauer Cycling
39,218917,John,Gerling,Modesto,CA,00:00:00.00,InfoVista Cycling Team
40,186159,Christopher,Simpson,San Jose,CA,00:00:00.00,Metromint
41,275571,Paul,Ngo,San Jose,CA,00:00:00.00,NA
42,239684,Keegan,Bruemmer,Reno,NV,00:00:00.00,Great Basin Imaging
43,265702,Brian,Halkett,Cameron Park,CA,00:00:00.00,TeamBicycleChef - Bio Bar
44,271708,Michael,Chenoweth,Pensacola,FL,00:00:00.00,Sierra Bicycle Werks
45,153414,Joshua,Bullock,Sacramento,CA,00:00:00.00,Chico Corsa
46,207144,Kristopher,Spyrka,Alamo,CA,00:00:00.00,Synergy-Taleo
47,268040,jacob,olds,Philadelphia,PA,00:00:00.00,Roaring Mouse Cycles
48,271178,Dean,Starn,Sacramento,CA,00:00:00.00,Team City
49,254258,Hugh,Lothrop,Bermuda Dunes,CA,00:00:00.00,NA
50,0,Reed,Azevedo,,,00:00:00.00,Pacific State Bank Cycling
51,258303,Vee,Bhopla,Sacramento,CA,00:00:00.00,Mad Cat Bicycles
52,270781,Zach,Eurich,Vacaville,CA,00:00:00.00,central valley cycling
53,279484,Steve,Moreno,Sacramento,CA,00:00:00.00,SGC
DNP,274160,Max,Amara,Fresno,CA,00:00:00.00,Action Sports/SSC Racing Team/
DNP,252381,Devin,Avery,Rancho Cordova,CA,00:00:00.00,BEER
DNP,5236,Dave,Brunetti,Modesto,CA,00:00:00.00,NA
DNP,157123,Mark,Herynk,Redwood City,CA,00:00:00.00,Webcor/Alto Velo
DNP,225665,Darrel,James,Modesto,CA,00:00:00.00,NA
DNP,272195,Mark,Johansen,Riverbank,CA,00:00:00.00,InfoVista cycling team
DNP,220923,Russell,Petrosky,Gardnerville,NV,00:00:00.00,Great Basin Imaging Cycling Te
DNP,247724,Jim,Cordano,Sacramento,CA,00:00:00.00,Sacramento Golden Wheelmen
DNP,247502,William,Hansen,Modesto,CA,00:00:00.00,Info Vista
DNP,19484,George,Knott,Clovis,CA,00:00:00.00,Central Valley Cycling
DNP,273321,Brad,Wilson,Sacramento,CA,00:00:00.00,Mad Cat Bicycles
DNP,271787,Sunny,Sandhu,Fresno,CA,00:00:00.00,Action Sports/ SSC
DNP,200040,Dale,Matsuda,Rancho Cordova,CA,00:00:00.00,Easton/SugarCRM/Specialized

05/17/2008 Criterium Men Cat 4/5 Master 35-99
Place,License #,First,Last,City,State,Time,Team
1,239028,John,Beaudry,Merced,CA,00:00:00.00,Stanislaus/Merlock Velo
2,49703,Kyle,Clinton,Merced,CA,00:00:00.00,Stanislaus Merlock Velo
3,5236,Dave,Brunetti,Modesto,CA,00:00:00.00,Unattached
4,273437,Mike,Brunetti,Escalon,CA,00:00:00.00,NA
5,51073,James,Whitney,Northlake,TX,00:00:00.00,Fusion Sport USA
6,56384,Louis,Toba,Palo Alto,CA,00:00:00.00,Webcor Alto Velo
