HPCX in Jamesburg NJ Results

11/09/2008 Cyclo-cross Men Pro
Place,License #,First,Last,City,State,Time,Team
1,177776,Adam,McGrath,Springfield,OR,0:58:12,VAN DESSEL
2,121800,Justin,Spinelli,Boston,MA,0:07,RGM WATCHES-RICHARD SACHS-BOATHOUSE INC
3,121621,Tyler,Wren,Burlington,VT,0:16,COLAVITA SUTTER HOME P/B COOKING LIGHT
4,122030,Weston,Schempf,West Lafayette,IN,0:54,C3-SOLLAY.COM!
5,86404,Matthew,Kraus,Millwood,NY,1:43,RGM WATCHES - RICHARD SACHS - BOATHOUSE
6,127000,Nathanael,Wyatt,Fairview,NC,1:48,CAROLINA FATZ PB SANTA CRUZ BICYCLES
7,146736,Eneas,Freyre,Redding,CT,1:48,TARGETRAINING
8,161583,Travis,Livermon,Winston Salem,NC,1:48,CANNONDALE / CCN
9,153981,Andrew,Wulfkuhle,Lancaster,PA,1:48,C3-SOLLAY.COM
10,0,Zoltan,TISZA,,,2:23,PNIVO-BETONEXPRESSZ 2000
11,221223,Richard,Visinski,Fairfield,CT,2:30,EXODUS ROAD RACING
12,191656,Sean,Galegher,Parkville,MD,3:20,HUNT VALLEY BICYCLE CLUB
13,201402,Stephen,Cummings,Pittsburgh,PA,3:47,INDIANA REGIONAL MEDICAL CENTER
14,0,Gavriel,EPSTEIN,,,4:01,CRCA
15,219955,Patrick,Bradley,Richwood,NJ,4:03,RUTGERS UNIVERSITY CYCLING TEAM
16,0,John,BURNS,,,4:12,BIKEMAN.COM
17,64243,Michael,Yozell,Emmaus,PA,4:30,VISITPA.COM
18,0,Lisban,QUINTERO,,,5:23,CENTURY ROAD CLUB ASSOCIATION
19,47232,William,Elliston,Easton,PA,6:01,FUJI
20,65819,Bobby,Lea,Mertztown,PA,6:14,FUJI
21,232942,Christopher,Hamlin,Jonesville,VT,6:21,BLISS RACING
22,151319,Guillaume,Nelessen,Lambertville,NJ,6:48,Van Dessel Factory Team
23,180712,Matthew,Rotroff,Lewisville,NC,7:56,INLAND CONSTRUCTION
24,234606,John,Brewer,Vienna,VA,8:23,HAYMARKET BICYCLES P/B FUNCTION DRINKS
25,165569,Adam,Szczepanski,Atlanta,GA,8:56,WISSAHICKON
26,172838,Scott,Dolmat-Connell,Princeton,MA,1L,UNIVERSITY OF VERMONT CYCLING TEAM
27,0,Myles,ROMANOW,,,1L,WILDTHYME/IF
28,106096,Charles,Pendry,Raleigh,NC,1L,INLAND CONSTRUCTION
29,202107,Charles,Totaro,Boulder,CO,1L,HUMAN ZOOM CYCLING
30,87697,Tyler,Johnson,Chester,CT,1L,TARGETRAINING
31,122219,Nicholas,Shaffer,Phoenixville,PA,1L,HUMAN ZOOM/ PABST BLUE RIBBON

11/09/2008 Cyclo-cross Women Pro
Place,License #,First,Last,City,State,Time,Team
1,36345,Laura,Van Gilder,Cresco,PA,0:40:17,C3 SOLLAY
2,103270,Maureen,Bruno Roy,Arlington,MA,0:00,MM RACING P/B SEVEN CYCLES
3,205256,Deidre,Winfield,Charlottesville,VA,0:03,VELO BELLA - KONA
4,240239,Arley,Kemmerer,Palmerton,PA,3:00,HUB RACING
5,142510,Melanie,Swartz,Reston,VA,3:13,VELO BELLA - KONA
6,131990,Patricia,Buerkle,State College,PA,3:28,VANDERKITTEN
7,255550,Kristin,Gavin,Philadelphia,PA,4:08,HUMAN ZOOM/PABST BLUE RIBBON
8,61179,Jennifer,Maxwell,Silver Spring,MD,4:24,TEAM KENDA TIRE
9,213558,Nicole,Thiemann,Philadelphia,PA,4:32,HUMAN ZOOM PABST BLUE RIBBON
10,209805,Samantha,Williams,Myersville,MD,4:57,SORELLA CYCLING
11,180801,Amy,Wallace,Andover,MA,5:53,RGM WATCHES - RICHARD SACHS - BOATHOUSE
12,142023,Kristine,Church,Philadelphia,PA,6:12,HUMAN ZOOM/ PABST BLUE RIBBON
13,236188,Elizabeth,Harlow,Baltimore,MD,6:39,C3-SOLLAY.COM
14,144435,Sonja,Evers,Leadville ,CO,7:34,CHARM CITY CYCLING LLC
15,192719,Megan,Bilodeau,Easthampton,MA,8:01,HUP! UNITED
16,0,Diane,GRIM,,,1L,C3-SOLLAY.COM
DNF,207086,Heidi,von Teitenberg,Baltimore,MD,,C3-SOLLAY.COM
