Turtle Pond Circuit Race in Loudon NH Results

04/25/2009 Road Race Men PRO Cat/1/2
Place,License #,First,Last,City,State,Time,Team
1,167848,Charles,Marzot,Falmouth,MA,2:44:33,
2,168259,Robbie,King,New York,NY,2:44:34,
3,126022,Kevin,Wolfson,Cambridge,MA,2:46:31,
4,121800,Justin,Spinelli,Boston,MA,2:46:37,
5,0,RON,LAROSE 3,,,2:46:49,
6,229526,Matt,Mainer,Hinesburg,VT,2:46:50,
7,0,PATRICE,BESSY,,,2:47:59,
8,104840,Todd,Yezefski,Medford,MA,2:49:14,
9,208854,Adam,Carr,Colchester,VT,2:49:43,
10,223454,David,Hoyle,Newington,CT,2:49:43,
11,212585,Eric,Tremble,Jericho,VT,2:49:44,
12,159160,Damien,Colfer,Exeter,NH,2:49:50,
13,120392,Peter,Bradshaw,Boston,MA,2:50:39,
14,195297,Matt,Rossman,Salt Lake City,UT,2:54:53,
15,117383,Jonathan,Bold,Marstons Mills,MA,2:54:53,
16,199084,Adam,Sullivan,North Kingstown,RI,2:54:55,
17,246459,James,Morrison,Sidney,ME,2:55:02,
18,207445,Ryan,Kelly,Atkinson,NH,2:55:12,
19,207835,Josh,Austin,Barrington,RI,2:55:13,
20,207152,Colin,Murphy,Cambridge,MA,2:55:48,
21,234976,James,Combs,Austin,TX,2:58:53,

04/25/2009 Road Race Men Cat 5 18-34
Place,License #,First,Last,City,State,Time,Team
1,0,DAN,GUINEY,,,1:28:42,
2,270881,Shawn,Turner,Plattsburgh,NY,1:28:51,TEAM PLACID PLANET
3,282698,FRANCIS,LANE,North Andover,MA,1:28:51,
4,254756,Ben,McCoy,Wakefield,MA,1:28:51,
5,0,CURTIS,LAVOIE,,,1:28:52,
6,294313,Samuel,EvansBrown,Gilmanton Ironworks,NH,1:28:52,
7,284535,michael,wissell,Hyde Park,MA,1:28:52,
8,286869,Mark,Champagne,Marlborough,MA,1:28:52,
9,0,DYLAN,MCGUFFIN,,,1:28:52,
10,293048,Timothy,Cotreau,Manchester,NH,1:28:53,
11,279191,Justin,Henderson,Berlin,NH,1:28:53,
12,225654,Lars,Sauvola,Rindge,NH,1:28:53,
13,0,NICHOLAS,TELISCHAK,,,1:28:53,
14,116020,James,Willsey,Hinesburg,VT,1:28:54,
15,0,SCOTT,MACLELLAN,,,1:28:54,
16,281677,Benjamin,Pagano,Hudson,MA,1:28:54,
17,0,IAN,SANDERS,,,1:28:54,
18,0,ERIC,ANDERSON,,,1:28:55,
19,289388,Jason,Waltuch,Weston,MA,1:29:24,
20,286896,Graham,Dimmock,Belmont,MA,1:29:25,
21,0,PAUL,SENNOTT,,,1:29:35,
22,278909,Stephen,Owens,Boston,MA,1:30:01,
23,277289,Joseph,Marinelli,Brighton,MA,1:35:21,
24,0,MICHAEL,FELO,,,1:38:07,
25,207085,Nicholas,Czerula,Concord,NH,1:38:08,
26,280918,George,Galileos,Needham,MA,1:40:59,
27,293045,Josh,Bean,East Kingston,NH,1:42:10,
28,0,WILLIAM,HARRINGTON III,,,1:43:09,
29,273376,Nicholas,Maggiore,Jamaica Plain,MA,1:43:36,
30,0,RAYMOND,BROTHERS,,,1:46:39,
31,0,DAVID,WETZEL,,,1:48:37,
32,0,DAVID,KELL,,,1:52:01,
33,0,DAVID,CHMIELECKI,,,1:52:56,
34,0,STEFAN,MATIONG,,,1:59:33,

04/25/2009 Road Race Men Cat 5 35-99
Place,License #,First,Last,City,State,Time,Team
1,1111,Jody,Adamonis,Nashua,NH,1:31:56,
2,283842,Larry,Alford,Newton,MA,1:31:56,
3,277327,BOB,EVANS,Gilford,NH,1:31:56,
4,288924,Norbert,Burggraf,Hamilton,MA,1:31:57,
5,138727,Geoff,McIntosh,Newmarket,NH,1:31:57,
6,269211,Jonathan,Nichols,Cornish Flat,NH,1:31:58,
7,262494,george,shaw,Brookline,MA,1:31:58,
8,278664,paul,czerwinski,Gilford,NH,1:31:58,
9,282939,Bill,Aalerud,Winchester,MA,1:31:58,
10,0,CHRISTOPHER,DARLING,,,1:31:59,
11,290360,Timothy,Hulse,Stowe,VT,1:31:59,
