Wells Fargo Twilight Criterium in Boise ID Results

07/18/2009 Criterium Men Pro/Cat 1
Place,License #,First,Last,City,State,Time,Team
1,194969,Kenneth,Hanson,San Diego,CA,00:00:00.00,Team Type 1
2,0,Aldo Ino,ILESIC,,,00:00:00.00,
3,288133,Lucas Sebastian,Haedo,Linden,NJ,00:00:00.00,Colavita Olive Oil/sutter Home
4,288134,Alejandro,Borrajo,Lemon Grove,CA,00:00:00.00,Colavita Olive Oil/sutter Home
5,0,Roman,VAN UDEN,,,00:00:00.00,
6,56910,Kirk,O'Bee,Ada,MI,00:00:00.00,Bissell Pro Cycling
7,220775,Thomas,Soladay,Minnetonka,MN,00:00:00.00,Team Mountain Khakis
8,0,Cody,STEVENSON,,,00:00:00.00,Uci: Team Budget Forklifts
9,121621,Tyler,Wren,Burlington,VT,00:00:00.00,Uci Ct: Colavita Olive Oil/sut
10,0,Mike,NORTHEY,,,00:00:00.00,
11,161599,Allen,Krughoff,Boulder,CO,00:00:00.00,Team Rio Grande
12,208805,Davide,Frattini,Asheville,NC,00:00:00.00,Colavita Olive Oil/sutter Home
13,188572,Andrew,Dahlheim,Greenville,SC,00:00:00.00,Metro Volkswagen
14,205722,Robert,Sweeting,Asheville,NC,00:00:00.00,Land Rover-orbea
15,288135,Luis Alberto,Romero Amaran,Kingwood,TX,00:00:00.00,Colavita Olive Oil/sutter Home
16,50257,Todd,Hageman,Park City,UT,00:00:00.00,Colesport
17,163558,Chris,Stuart,Park City,UT,00:00:00.00,Team Bobs-bicycles.com
18,208854,Adam,Carr,Colchester,VT,00:00:00.00,Ten Speed Dr. /bh Bikes
19,208936,Erik,Slack,Meridian,ID,00:00:00.00,Team Bobs-bicycles.com
20,288132,Anibal,Borrajo,Lemon Grove,CA,00:00:00.00,Colavita Olive Oil/sutter Home
21,127993,Timothy,Henry,Franklin,TN,00:00:00.00,Dlp Racing
22,220414,Ryan,Parnes,Stockton,CA,00:00:00.00,Webcor/alto Velo
23,34666,Jonathan,Sundt,Austin,TX,00:00:00.00,Uci Ct: Kelly Benefit Strategi
24,188087,Aaron,Johnson,Gig Harbor,WA,00:00:00.00,Hagens Berman
25,184301,Leo,Frayre,Dallas,TX,00:00:00.00,Ten Speed Drive/ Bh Bicycles
26,141922,Cody,O'Reilly,Santa Barbara,CA,00:00:00.00,Kodak Gallery/sierra
27,184181,Justin,England,Boulder,CO,00:00:00.00,California Giant Berry Farms/s
28,202202,Garrett,White,Scottsdale,AZ,00:00:00.00,Ten Speed Drive/ Bh Bicycles
29,195176,Corey,Carlson,Boulder,CO,00:00:00.00,Rocky Mounts - Izze
30,243374,Kai,Applequist,Boise,ID,00:00:00.00,Team Bobs-bicycles.com
31,76788,Remi,McManus,Boise,ID,00:00:00.00,Kenda Pro Cycling Presented By
32,0,Peter,LATHAM,,,00:00:00.00,Bissell Pro Cycling
33,74147,Russell,Stevenson,Seattle,WA,00:00:00.00,Benaroya Research Institute
34,203931,Carson,Miller,Seattle,WA,00:00:00.00,Land Rover-orbea-benefiting Th
35,24621,Shawn,Mitchell,Boise,ID,00:00:00.00,George's/bode
36,234987,Bradley,Gehrig,Salt Lake City,UT,00:00:00.00,Cole Sport
37,239322,Christopher,Hong,New Haven,CT,00:00:00.00,Team Bobs-bicycles.com
38,235955,Brandon,Lynch,Hailey,ID,00:00:00.00,Team Bobs-bicycles.com
39,175413,Brandon,Archibald,Portland,OR,00:00:00.00,Valley Athletic Club
40,139734,Emiliano,Jordan,Portland,OR,00:00:00.00,Team Revolution
41,60511,Francis (Gardie),Jackson,Larkspur,CA,00:00:00.00,Cole Sport
42,0,Benjamin,KING,,,00:00:00.00,
43,147952,Jonathan,Parrish,Chandler,AZ,00:00:00.00,Team Waste Management
44,29107,Daniel,Ramsey,Los Angeles,CA,00:00:00.00,Time Pro Cycling
45,276285,Jonathan,Coulter,Los Altos,CA,00:00:00.00,Bissell Abg Cycling
46,194595,Omer,Kem,Ashland,OR,00:00:00.00,Bissell Pro Cycling
47,0,Jesus,ZAPATA,,,00:00:00.00,Ten Speed Dr./ Bh Bikes
48,14809,George (Tad),Hamilton,Boise,ID,00:00:00.00,Team Bobs-bicycles.com
