Bank of America Wilmington Grand Prix in Wilmington DE Results

05/16/2009 Criterium Men Pro/Cat 1
Place,License #,First,Last,City,State,Time,Team
1,0,Zach,BELL,,,1:13:25,Kelly Benefit's Strategy
2,288133,Lucas Sebastian,Haedo,Linden,NJ,same time,Colavita Sutter Home p/b Cookin
3,195634,Jacob,Keough,Sandwich,MA,same time,Kelly Benefit Strategies
4,37157,Kyle,Wamsley,Alburtis,PA,same time,Colavita Sutter Home p/b Cookin
5,197022,Will,Hoffarth,Charlotte,NC,same time,Team Mountain Khakis Pro Cyclin
6,56910,Kirk,O'Bee,Ada,MI,same time,Bissell Pro Cycling
7,194969,Kenneth,Hanson,San Diego,CA,same time,Team Type 1
8,168259,Robbie,King,New York,NY,same time,IF/Lionette's
9,19139,Stephen,Kincaid,Reading,PA,same time,CRCA/Empire Cycling Team p/b No
10,206020,Eric,Schildge,Hanover,NH,same time,Bikereg.com / Cannondale
11,0,Francois,PARISIEN,,,same time,PLANET ENERGY
12,0,Rafael,MERAN,,,same time,GS Mengoni USA
13,0,Aldo Ino,ILESIC,,,same time,Team Type1
14,61583,John,DeLong,Blacksburg,VA,same time,Hincapie Gary Fisher pb Barkley
15,288132,Anibal,Borrajo,Lemon Grove,CA,same time,Colavita Sutter Home p/b Cookin
16,160295,Frank,Travieso,Athens,GA,same time,Champion porsche
17,72192,Mark,Hekman,Winston Salem,NC,same time,Team Mountain Khakis Pro Cyclin
18,185182,Todd,Hesel,Parkville,MD,same time,Kelly Benefit Strategies/LSV Am
19,58598,David,Fuentes,Herndon,VA,same time,Battley HARLEY-DAVIDSON/Sonoma
20,89187,Ryan,DeWald,Mount Penn,PA,same time,Battley HARLEY-DAVIDSON/Sonoma
21,189818,Jake,Hollenbach,Shelburne,VT,same time,CRCA/Empire Cycling Team p/b No
22,204958,Daniel,Zmolik,New York,NY,same time,CRCA/Empire Cycling Team p/b No
23,53474,Frederick,Norton,Towson,MD,same time,Kelly Benefits Strategies/LSV a
24,194569,Evan,Fader,Boulder,CO,same time,Richmond Pro Cycling
25,120470,Clayton,Barrows,Denver,CO,same time,CRCA/Empire Cycling Team p/b No
26,118740,Andrew,Guptill,Charlottesville,VA,same time,Colavita Sutter Home p/b Cookin
27,29107,Daniel,Ramsey,Los Angeles,CA,same time,Team Mountain Khaki
28,194787,Bennet,Van der Genugten,Bloomington,IN,same time,Kenda Pro Cycling p/b Spinergy
29,220775,Thomas,Soladay,Minnetonka,MN,same time,Team Mountain Khakis
30,288135,Luis Alberto,Romero Amaran,Kingwood,TX,18.9,Colavita Sutter Home p/b Cookin
31,63559,Daniel,Holt,Atlanta,GA,same time,Team Type 1
32,141922,Cody,O'Reilly,Santa Barbara,CA,25,Bissell Pro Cycling
33,0,Valeriy,KOBZARENKO,,,same time,Team Type 1
34,208086,Yosvany,Falcon,Miami,FL,same time,Champion Porsche p/b Race Edge
35,147512,Shawn,Milne,Beverly,MA,58.7,Team Type 1
36,211712,Keck,Baker,New Kent,VA,01:03.3,Battley HARLEY-DAVIDSON/Sonoma
37,186239,Nick,Bennette,Seattle,WA,same time,MetLife Cycling Team
38,238217,Adam,Farabaugh,Boulder,CO,same time,Hershey Cancer Institute-GPOA-C
39,220150,Jared,Nieters,Haymarket,VA,same time,Haymarket Bicycles/Trakkers
40,137395,Timothy,Mitchell,Ashland,MA,same time,MetLife Cycling Team
41,3304,Ramon,Benitez,Glenwood,MD,same time,IMMEDIATE MORTGAGE - ARTEMIS EL
42,155889,David,Bozak,Hollidaysburg,PA,same time,Clean Currents p/b Don Beyer Vo
43,187935,Justin,Beard,Albemarle,NC,same time,Hincapie Gary Fisher p/b Barkle
44,198408,Sean,Barrie,Washington,DC,same time,Georgetown University
45,54686,Charles,Hutcheson,Santa Rosa,CA,same time,Battley HARLEY-DAVIDSON/Sonoma
46,177933,Joseph,Whitman,State College,PA,same time,Salamander Racing
47,234631,Salvatore,Scotto DiVetta,Brooklyn,NY,same time,GS Mengoni USA
48,205717,Justin,Lindine,North Ogden,UT,same time,BikeReg.com / Cannondale
49,143088,Jason,Meidhof,Pasadena,CA,same time,Clean Currents p/b Don Beyer Vo
50,25407,Jonathan,Mumford,Baltimore,MD,same time,Kelly Benefit Strategies
51,184042,Ryan,Fleming,Exeter,NH,same time,MetLife Cycling Team
52,164362,K Frank,Pipp,Longmont,CO,same time,Bissell Pro Cycling
53,232400,Jeff,Brandon,Glen Allen,VA,same time,Kelly Benefit Strategies/LSV Am
54,133782,Jamie,Kimberley,Baltimore,MD,same time,Kelly Benefit Strategies/LSV Am
55,144563,Eric,Brownell,East Hartford,CT,same time,CRCA/Empire Cycling Team p/b No
56,200845,Michael,Mathis,Tucson,AZ,same time,CRCA/Empire Cycling Team p/b No
57,34666,Jonathan,Sundt,Austin,TX,same time,Kelly Benefit Strategies
58,52098,Matthew,Johnson,New Haven,CT,same time,CRCA/Empire Cycling Team p/b No
59,0,Peter,LATHAM,,,same time,Bissell Pro Cycling
60,126022,Kevin,Wolfson,Cambridge,MA,01:21.9,IF/Lionette's
61,198228,Johann,Burrowes,Brooklyn,NY,same time,WS UNITED/SHEEPSHEAD CYCLE
