Brownstown Road Race (TM) in Brownstown PA Results

06/26/2010 Road Race Men master 45-54
Place,License #,First,Last,City,State,Time,Team
1,64446,John,Spittal,Elizabethtown,PA,1:33:22,THRU-IT-ALL BODY SHOP INC.
2,259837,Robert,Grimwood,Lewisberry,PA,,EASTERN MOBILE CYCLING TEAM
3,47323,Denny,Boyle,Eldersburg,MD,,TREK MOUNTAIN CO-OP
4,51036,Bill,Gros,Salt Lake City,UT,,Evolution Cycling Club p/b Long & Foster
5,128378,Marc,Frazer,Baltimore,MD,,KELLY BENEFIT STRATEGIES/LSV AMATEUR TEAM
6,115856,Bruce,Donaghy,Macungie,PA,,MORGAN STANLEY SMITH BARNEY CYCLING TEAM
7,141646,Michael,Satterfield,Leesburg,VA,,EVOLUTION CYCLING CLUB P/B LONG & FOSTER
8,189369,Daniel,Ryan,,,,MORGAN STANLEY/MARKET EDGE
9,81236,Michael,Zban,Landisville,PA,,THRU-IT-ALL BODY SHOP INC.
10,245644,Bruce,Brodowski,Langhorne,PA,,GUY'S RACING CLUB
11,233709,Robin,Kinney,Newport Beach,CA,,LIBERTY
12,255713,Daniel,Conlin,Wilmington,DE,,TBB/DEEP BLUE
13,191647,Brian,Gristick,Budd Lake,NJ,,YSG Racing
14,283103,Brian,Berry,Newtown,PA,,EBS RACING
15,18948,Karl,Kensinger,Arlington,VA,,NCVC/UNITED HEALTH GROUP
16,187415,Marc,Lefkowitz,Pikesville,MD,,KELLY BENEFIT STRATEGIES/LSV
17,221543,Art,Miller,Conestoga,PA,,THRU-IT-ALL BODY SHOP INC.
18,280213,Randy,Haluck,Lititz,PA,,THRU-IT-ALL BODY SHOP INC.
19,262078,Jerome,Jacobs,Haverford,PA,,NEBC/CYCLE LOFT/DEVONSHIRE DENTAL
20,270805,Robert,Turner,Lancaster,PA,,THRU-IT-ALL BODY SHOP INC.
21,0,RIDER,UNKNOWN,,,,
22,226542,David,Hilton,Philadelphia,PA,,PA MASTERS RC
23,24921,Jeffrey,Moore,Hatfield,PA,,TRI-STATE VELO
