Tour de Tow in Bartow  FL Results

09/19/2010 Criterium Men Pro/Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,194743,Winston,David,Greenville,SC,01:04:01.591,Orlando Road Club Inc
2,117436,Derek,Bennett,Tampa,FL,01:04:02.123,Florida Velo
3,177305,Joel,Chavez,Tampa,FL,01:04:57.751,P/c Miller
4,50777,David,Beaudoin,Cullowhee,NC,01:04:57.830,Central Florida Velo
5,163923,Gunter,Hermanni,Miami,FL,01:04:58.097,ZMotion Racing Team
6,230009,Shawn,Gravois,Sarasota,FL,01:05:01.107,Florida Velo
7,305523,fredd,matute,Oviedo,FL,01:05:11.854,Team Paisa
8,59556,Rainiel,Sanchez,Winter Park,FL,01:05:22.908,Z Bikes / VistaVelo.Com
9,185066,Daniel,Chavez,Spring Hill,FL,01:05:22.970,P/c Miller
10,73508,Grant,Potter,Parkland,FL,01:05:23.986,ZMotion Racing Team
11,177274,Pedro,Medina,Orlando,FL,01:05:24.028,Atlantic Shores Velo
12,271372,Jos,Chalmers,Indian Harbour Beach,FL,01:05:26.031,Colavita Racing Inc.
13,89503,Noe,Gonzalez,Hialeah,FL,01:05:26.994,Team Performance Fitness-delray Center
14,289531,Didier,Fresne,Lutz,FL,01:05:28.290,Florida Velo
15,211913,Craig,Creeden,Longwood,FL,01:05:52.294,Atlantic Shores Velo
16,138708,Miguel,Luis,Hialeah,FL,01:05:54.725,Team Performance Fitness-delray Center
17,24653,Steven,Mlujeak,Hollywood,FL,01:06:10.963,ZMotion Racing Team
18,9601,Patrick,Diver,Orlando,FL,01:06:11.162,Orlando Road Club Inc
19,244277,Neal,Shepherd,Boulder,CO,01:04:55.471,Orlando Road Club Inc
20,60148,Ken,Vida,Lithia,FL,01:04:56.023,Florida Velo
21,174879,Thomas,Moloney,Tampa,FL,00:52:33.428,P/c Miller
22,175371,Victor,Rodriguez,Tampa,FL,00:41:51.653,P/c Miller
23,241035,David,Munoz,Orlando,FL,00:52:34.614,Atlantic Shores Velo
24,76784,Julio,Cruz,Hialeah,FL,00:56:39.643,Team Performance Fitness-delray Center
25,219566,Darren,Dowling,Sarasota,FL,00:33:50.237,Florida Velo
26,10026,Joshua,Drew,Orlando,FL,00:31:33.376,Atlantic Shores Velo
27,202202,Garrett,White,Scottsdale,AZ,00:20:53.435,Ten Speed Drive Racing
28,216047,David,Gay,Bartow,FL,00:16:52.389,San Tan Racing

