Porcupine Hill Climb in Salt Lake City UT Results

07/09/2011 Road Race Men Pro/Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,237328,Taylor (T.J.),Eisenhart,Lehi,UT,1:00:36,FFKR Architects/SportsBaseOnli
2,317564,Nathan,King,Redlands,CA,1:00:44,Canyon Bicycles-Draper
3,228770,Chris,MacKay,Park City,UT,1:01:15,Cole Sport Racing
4,222652,Jacob,Stocking,Salt Lake City,UT,1:01:16,Revolution Cafe Rio
5,259988,Todd,Neumarker,Pleasant Grove,UT,1:01:36,Roosters/Bikers Edge
6,230799,James,Stemper,Boulder,CO,1:01:43,Kenda/5-Hour Energy Pro Cyclin
7,296526,Eric,Ellis,Springville,UT,1:03:19,Ski Utah - MarketStar
8,311845,Roger,Arnell,Pleasant Grove,UT,1:04:20,Rooster/Bikers Edge
9,73704,Curtis,Doman,Draper,UT,1:05:06,Revolution Cafe Rio
10,181440,Aaron,Olsen,Woodscross,UT,1:05:14,FFKR/SBO P/B Tour of Utah
11,67640,Christopher,Hull,Salt Lake City,UT,1:05:17,Contender Bicycles
12,209217,Connor,OLeary,Salt Lake City,UT,1:06:36,Racelab Cycling Team
13,276490,Will,Hanson,Draper,UT,1:06:38,Revolution Cafe Rio
14,219095,Mike,Sohm,Salt Lake City,UT,1:08:19,Canyon Bicycles-Draper
15,78544,Michael,Wilcox,Salt Lake City,UT,1:09:26,FFKR/SportsBaseOnline p/b Tour
16,195297,Matt,Rossman,Salt Lake City,UT,1:09:27,
17,288895,Jonathan,Hines,Salt Lake City,UT,1:11:03,FFKR/SBO by Tour of Utah

07/09/2011 Road Race Men Junior
Place,License #,First,Last,City,State,Time,Team
1,338114,Joshua,Peterson,Bountiful,UT,1:35:52,Blue Fix

07/09/2011 Road Race Men Junior 13-14
Place,License #,First,Last,City,State,Time,Team
1,338098,Zachary,Peterson,Bountiful,UT,1:17:41,Bike Fix
2,275694,Brandon,McNulty,Phoenix,AZ,1:21:03,Swiss-Jobing
3,317194,Noah,Putt,Park City,UT,1:23:40,Contender
4,280557,Harrison,Sligting,Riverton,UT,1:27:33,Hakenya
5,279908,Gianni,Kennard,Provo,UT,1:27:40,RMCC/Cyclesmith
6,370778,Tristan,Baird,Smithfield,UT,1:32:49,
7,0,Tyler,MULLINS,,,1:41:35,
8,0,Chase,POULSON,,,1:42:18,

07/09/2011 Road Race Men Junior 15-16
Place,License #,First,Last,City,State,Time,Team
1,321238,griffin,park,Springville,UT,1:11:08,
2,0,John,GOODSON,,,1:17:20,
3,0,Jacob,ALDER,,,1:23:59,
