High Rock Road Race - Crossroads Classic in Salisbury NC Results

08/06/2011 Road Race Men Pro/Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,276693,Neil,Bezdek,New York,NY,2:31:28.2,Team Mountain Khakis presented
2,225765,David,Williams,Grand Rapids,MI,2:31:28.3,BISSELL Pro Cycling
3,202661,Cody,Johnson,Asheville,NC,2:31:29.4,DIY Music p/b AYC
4,601,Mark,Warno,Fairfax,VA,2:31:29.5,AVC/Team Hagerstown
5,187757,Bruce,Humphries,Gaffney,SC,2:31:29.6,Colavita Racing
6,255870,Eric,Stubbs,Gainesville,FL,2:31:30.4,352 Racing p/b Bikes N More
7,40606,Christopher,Zieman,Chapel Hill,NC,2:31:37.8,Unattahced
8,191703,Thomas,Brown,Athens,GA,2:31:41.5,Team Mountain Khakis presented
9,0,Jos� Frank,RODRIGUEZ,,,2:31:41.6,Cocos
10,192584,Shane,Kline,Bally,PA,2:31:41.7,BISSELL Pro Cycling
11,0,William,MU�OZ PEREZ,,,2:31:41.8,Factory Bike COLOMBIA
12,202082,Alder,Martz,Charlotte,NC,2:31:42.0,Hincapie Development p/b Holow
13,193019,Luis,Zayas,Miami,FL,2:31:42.3,GM Bikes
14,221327,Tyler,Karnes,Rock Hill,SC,2:31:42.4,Hincapie Development team
15,144633,Benjamin,Zawacki,Greenville,SC,2:31:42.5,Team Mountain Khakis presented
16,257659,Philip,O'Donnell,Suwanee,GA,2:31:42.6,Team Specialized Racing Junior
17,253847,John,Crow,Mint Hill,NC,2:31:42.6,Back to Dirt Racing Group
18,0,Samuels,ONEIL,,,2:31:42.7,Litspeed BMW
19,180410,Christopher,Monteleone,Winston Salem,NC,2:31:42.7,Kenda 5hr Energy Pro Cycling P
20,289668,Andrew,Bridges,Bristow,VA,2:31:42.8,HAYMARKET BICYCLES
21,178109,Andrew,Scarano,Athens,GA,2:31:42.9,Team Ion-United Healthcare
22,271372,Jos,Chalmers,Indian Harbour Beach,FL,2:31:42.9,ZMOTION Racing Team
23,320408,Branden,Russell,Seattle,WA,2:31:42.9,Team Type 1-Development
24,230698,Noah,Metzler,Greenville,SC,2:31:43.0,Team Globalbike
26,185734,Josh,Tucker,Clemmons,NC,2:31:43.1,Clemmons Bicycle Racing
27,306291,Johnny,Mitchell,Johnson City,TN,2:31:43.2,Palmetto Velo - Catup.com
28,281641,Trey,Miller,Charlotte,NC,2:31:43.3,Team Globalbike p/b Catoma
29,274911,James,Good,Davidson,NC,2:31:43.3,Audi
