Carl Dolan Memorial Spring Classic in Columbia MD Results

04/15/2012 Road Race Men Masters 45+/55+
Place,License #,First,Last,City,State,Time,Team
1,63036,Arthur,BROWN,Washington,DC,,Battley Harley-Davidson/Sonoma
2,3304,Ramon,BENITEZ,Glenwood,MD,,AVC
3,51036,Bill,GROS,Salt Lake City,UT,,Integrated Sports Med p/b Pyra
4,116102,Andrew,SHAW,Alexandria,VA,,NCVC / UnitedHealthCare
5,59226,Harry,FANG,Chevy Chase,MD,,NCVC/UnitedHealthcare
6,47971,David,OSBORNE,Silver Spring,MD,,Artemis
7,185280,Victor,SIEGFRIED,Reston,VA,,Evolution Cycling Club p/b Lon
8,109784,Michael,BROWN,Chico,CA,,Clean Currents p/b Beyer Kia
9,215952,Andreas,GUTZEIT,Washington,DC,,NCVC-UnitedHealth Care
10,128378,Marc,FRAZER,Baltimore,MD,,Kelly Benefit Strategies/LSV A
11,21779,William,LUECKE,Falls Church,VA,,NCVC/UnitedHealthcare
12,108105,Michael,KINGERY,Reston,VA,,The Bike Lane
13,18076,Brian,JOHNSTON,Bethany Beach,DE,,NCVC/UnitedHealthCare
14,46760,Dean,PIERSON,Salisbury,MD,,Ocean Velo/Culver and Pierson
15,201836,Marc,KLEIN,Arlington,VA,,NCVC/UnitedHealthcare
16,23485,Matthew,MCGOEY,New Windsor,MD,,All American Bicycle Club
17,264085,Dennis,CROCKETT,Keymar,MD,,AVC/Team Hagerstown-Washington
18,141646,Michael,SATTERFIELD,Leesburg,VA,,Evolution Cycling Club p/b Lon
19,75368,Denzil,HATHWAY,Millersville,MD,,ABRT
20,45075,Darin,BENSON,Lancaster,PA,,Thru It All Body Shop Inc
21,227006,Matthew,ALBANESE,Annapolis,MD,,ABRT
22,192720,Clifton,GRAY,Washington,DC,,Artemis
23,27431,Bryan,PATTON,Galena,MD,,Cecil County Cycling Club
24,33144,Gregory,SMITH,Laurel,MD,,Clean Currents p/b Beyer Kia
25,317672,Mike,FABER,Tomball,TX,,ABRT
26,73779,Gregg,HYDE,Leesburg,VA,,Evolution Cycling Club p/b Lon
27,27767,Guy,PEROTTI,Great Falls,VA,,team colivita
28,180335,John,NELMES,Falls Church,VA,,Scimmie Veloci Cycle Club
29,166526,David,WILSON,Annandale,VA,,Squadra Coppi p/b Vapiano
30,305515,Sean,HOGAN,Silver Spring,MD,,WWVC
31,194573,William,CUSMANO,Arlington,VA,,Squadra Coppi p/b Vapiano
32,60673,Randy,THRASHER,Germantown,MD,,Clean Currents p/b Beyer Kia
33,60105,Joseph,JEFFERSON,Hagerstown,MD,,AVC/Hagerstown-Washington Co.
34,254888,George,BRANYAN,Silver Spring,MD,,Route 1 Velo/Arrow Bicycle
35,276806,David,OFFICER,Great Falls,VA,,WWVC Racing
36,85486,Paul,TYRRELL,Lewes,DE,,Ocean Velo/Culver and Pierson
37,51830,Lauriston,MARSHALL,Silver Spring,MD,,Clean Currents p/b Beyer Kia
38,242788,Raymond,PETERSON,Greenbelt,MD,,Route 1 Velo/Arrow Bicycle
39,113060,Russ,HICKMAN,Delmar,MD,,Ocean Velo/Culver & Pierson Ho
40,164782,Larry,RUGGIERO,Greenville,SC,,Squadra Coppi/VapianoUSA
41,217022,Ray,MANYOKY,Bethesda,MD,,Clean Currents p/b Beyer Kia
42,47323,Dennis,BOYLE,Eldersburg,MD,,Kelly Benefit Strategies/LSV
43,235755,John,OLINSKI,Frederick,MD,,AVC/Team Hagerstown Wasington
44,45804,Rui,PONTE,Bethesda,MD,,Clean Currents p/b Beyer Kia
45,52033,Curtis,SOUTHERN,Frederick,MD,,NCVC/UnitedHealthcare
46,169112,Rick,TUCKER,Reisterstown,MD,,kelly benfits strategies/L S V
47,53940,David,SCHARFF,Baltimore,MD,,Kelly Benefit Strategies/LSV
48,53766,Galen,WALLACE,Towson,MD,,Kelly Benefit Strategies/LSV
49,113835,Stuart,ROSS,Washington,DC,,Clean Currents p/b Beyer Kia
50,129811,Bryan,VAUGHAN,Burke,VA,,
51,155245,Michael,ZOELLER,Washington,DC,,NCVC/UnitedHealthcare
52,61515,Rick,MONTEROSA,Mclean,VA,,NCVC/UnitedHealthcare
53,222263,Ray,PLEWACKI,Fairfax,VA,,Evolution Cycling Club p/b Lon
54,12432,Roger,FRIEND,Charlottesville,VA,,Monticello Velo Club
55,162323,Rob,SAUNDERS,Arlington,VA,,Squadra Coppi/Vapiano USA
56,301712,Geoff,HUGHES,Herndon,VA,,Evolution Cycling Club p/b Lon
57,46579,John,Grice,Basalt,CO,,
58,279105,Andy,DOBSON,Arlington,VA,,VDAY
59,18948,Karl,KENSINGER,Arlington,VA,,NCVC/UnitedHealthcare
60,132969,Tom,MEYER,Baltimore,MD,,Kelly Benefit Strategies/LSV
60,45124,Kevin,BROWN,Randallstown,MD,,Joe's bike shop/CW
61,108256,Stewart,KIDSTON,Fairfax,VA,,Evolution Cycling Club p/b Lon
62,49160,John,BOO,Lutherville,MD,,Kelly Benefit Strategies/LSV
63,45753,Bruce,OLIVER,Vienna,VA,,NCVC/UnitedHealthcare
65,190901,John,CHAMBERLAIN,Great Falls,VA,,Evolution Cycling Club p/b Lon
66,148316,John,NEWTON,Kennett Square,PA,,Chester County Velo
67,195218,Ad,BAX,Bethesda,MD,,Clean Currents p/b Beyer Kia
68,196016,Ted,HARRIS,Hurlock,MD,,ABRT
69,176403,Cary,HUNTER,Paeonian Springs,VA,,Potomac Velo Club
70,0,Hector,GONZALEZ,,,,
71,199260,Ryan,GUTTRIDGE,Severna Park,MD,,ABRT
72,48634,Jim,BRONSON,Gaithersburg,MD,,Patapsco Bike and Sport
73,147939,Peter,LINDEMAN,Arlington,VA,,NCVC/UnitedHealthcare
74,58241,Alberto,MORALES,Reston,VA,,NCVC/UnitedHealthcare
75,48889,Greg,HOFFMAN,Doylestown,PA,,EBS Racing Team
76,135856,Paul,LEMAR,Potomac,MD,,Squadra Coppi/Vapiano USA
77,132954,James P,BELLORA,Falls Church,VA,,Squadra Coppi/Vapiano
78,187415,Marc,LEFKOWITZ,Pikesville,MD,,Kelly Benefit Strategies/LSV
