Megan Baab Memorial Road Race in Copperas Cove TX Results

01/21/2012 Road Race Men Pro/Cat 1/2/3
Place,License #,First,Last,City,State,Time,Team
1,366920,Heath,Blackgrove,Austin,TX,,ELBOWZ RACING
2,0,Kristin,Hause,,,,
3,194685,Lawson,Craddock,Austin,TX,,Bontrager-Livestrong U23
4,248479,Chad,Haga,Fort Collins,CO,,Optum p/b Kelly Benefit Strateg
5,218736,Gavin,Mannion,Austin,TX,,Bontrager-Livestrong U23
6,240584,Brant,Speed,Austin,TX,,787 Racing
7,69378,Warney,Crosby,Dallas,TX,,Elbowz Racing
8,188123,Nathan,Brown,Austin,TX,,Bontrager-Livestrong
9,6135,Chris,Carlson,Plano,TX,,Matrix Cycling Club
10,190683,Dan,Cassidy,San Antonio,TX,,US Military Cycling
11,178970,Mat,Stephens,Dallas,TX,,Elbowz Racing
12,89282,David,Wenger,Austin,TX,,Super Squadra
13,168914,Tyler,Jewell,Austin,TX,,ELBOWZ RACING
14,110443,Joshua,Carter,Saint Charles ,MO,,Dogfish Racing Team
15,306764,Kyle,Parrott,Plano,TX,,Matrix Cycling Club
16,291724,Nicholas,Boulle,Dallas,TX,,DNA Racing Team / Bicycles Plus
17,331782,Gabriel,Baca,Austin,TX,,Wichita Falls Bicycling Club
18,60167,Zachary,Lytle,Dallas,TX,,Dallas Racing
19,232621,Tommy,Rushing,Wichita Falls,TX,,Velossimo Racing
20,306764,Kyle,Parrott,Plano,TX,,Matrix Cycling Club
21,225276,Collin,Davis,Euless,TX,,PACC/Wattposse
22,249581,Shane,Haga,Mckinney,TX,,Super Squadra
23,172139,Bryan,Reid,Santa Fe,NM,,Colavita Racing Inc.
24,270614,Brent,Wells,Boerne,TX,,Bicycle-Heaven
25,78680,Andrew,Chocha,Kansas  City ,MO,,US Military Cycling
26,295711,Jonathan,Hughes,Austin,TX,,Austinbikes/Revenant
27,0,Unknown,Rider,,,,
28,126609,Marc,Montemayor,Duncanville,TX,,
29,262008,Joseph,Garcia,Kyle,TX,,unattached
30,189245,Kevin,Fish,Austin,TX,,Super Squadra
31,273050,Alec,Aldape,San Antonio,TX,,Super Squadra
32,335654,Travis,Kropf,Mineral Springs,AR,,ThinkFinance Racing
33,0,Unknown,Rider,,,,Pacc
34,102704,John,Korioth,Austin,TX,,787 Racing
35,238136,Kyle,Anderson,Wichita Falls,TX,,Firefighters Cycling Associatio
36,197714,Joseph,Schmalz,Lawrence,KS,,Elbowz Racing
37,231733,Scott,Simmons,Cleburne,TX,,Velossimo Racing
38,193295,Austin,Stewart,Dallas,TX,,ELBOWZ RACING
39,234129,Trevor,Johnson,Tucson,AZ,,US Military Cycling
40,201905,William,Rader,Dallas,TX,,Super Squadra
41,303626,Matthew,Gosling,Dallas,TX,,Team Party Time
42,275193,Ryan,Dromgoole,Denton,TX,,Plano Athletic Cycling Club/PAC
43,274005,Anthony,White,Granbury,TX,,Velossimo Racing
44,225620,David,Potter,Mountain Brook ,AL,,Team LaS'port
45,80049,Alexander,Rodriguez,Round Rock,TX,,Neoteric Racing
46,201623,Mike,Lalla,Minneapolis,MN,,PACC Watt Posse
47,195843,Farangmeher,Ghadiali,Leesburg,VA,,Dallas Racing
48,157827,Corey,Ray,Mckinney,TX,,Plano Athletic Cycling Club/PAC
49,24157,Russell,Metoyer,Austin,TX,,Velossimo Racing
50,224500,Mario,Arroyave,Waxahachie,TX,,Velossimo Racing
51,199996,Mark,Rawlings,Dallas,TX,,GS Tenzing
52,66479,Frank,Kurzawa,Austin,TX,,Violet Crown Sports Assoc
53,275429,Chad,Hardt,Austin,TX,,Austinbikes/Revenant
54,206241,John,McAllister,Fort Worth,TX,,Velossimo Racing
55,272809,Ricky,Randall,Highland Village ,TX,,Wichita Falls Bicycling Club
56,202613,John-Matthew,Hattaway,Austin,TX,,Bicycles Outback p/b Jubilee Mi
57,240838,John,Ryan,North Richland Hills,TX,,Tbi

01/21/2012 Road Race Men Master 40+
Place,License #,First,Last,City,State,Time,Team
1,37880,Richard,Wharton,Dallas,TX,,Mirage
2,142783,James,Slauson,San Antonio,TX,,Bicycle-Heaven
3,40280,Will,Ross,Austin,TX,,Team Cycle Progression
4,272397,Scott,Dalhover,Irving,TX,,
5,286442,Warren,Woodbury,San Antonio,TX,,Bicycle-Heaven
6,49518,Christopher,Lutz,San Antonio,TX,,Bicycle-Heaven
7,45045,Thomas,Bain,San Antonio,TX,,Geri Atrix
8,26606,Lance,Ohlsson,Alexandria,VA,,
9,203152,Steve,Waters,New Braunfels,TX,,
10,0,Unknown,Rider,,,,
11,49894,Michael,Reade,Granbury,TX,,Team Bicycles Inc.
12,310674,Clif,Cassidy,Dallas,TX,,Colavita Racing Inc.
13,245682,Robb,Bush,Austin,TX,,
14,20478,antonio,latto,Austin,TX,,austin nationals
15,306073,Weston,Giunta,Austin,TX,,Violet Crown Sports Assoc
16,212903,David,Ludwigson,Cambria,CA,,Loon State Cyclists
17,204437,Kevin,Barton,San Antonio,TX,,Joes Pro Bikes
18,23465,Robert,McGhee,Austin,TX,,Mirage
19,69536,Todd,Mann,Plano,TX,,
20,162941,Barry,Klunder,Haslet,TX,,Team Bicycles Inc.
21,271466,Gary,Dutschmann,Dallas,TX,,Mirage
22,55980,Patrick,Dougherty,Ft Worth,TX,,ThinkFinance Racing
23,236841,Eardie,Curry,Austin,TX,,787 Racing
24,304426,ralph,harris,San Antonio,TX,,Soler's Sports
25,115408,Russell,DeBarbieris,Sugar Land,TX,,
26,4441,Russell,Bowers,Flower Mound,TX,,
27,49021,Robin,Thurston,Austin,TX,,787 Racing
28,12865,Jonathan,Garrett,Grapevine,TX,,Knobbies & Slicks Bike Shop
29,110566,Spencer,Jewell,Waco,TX,,Geri Atrix
30,295713,Michael,Klein,Austin,TX,,
31,247596,Douglas,Darling,Pleasant View,UT,,Team Bicycles Inc.
32,296306,Gradyn,Comfort,Houston,TX,,Red's Racing
33,90097,Joe,Udell,Dripping Springs,TX,,Kelly's Team
34,313788,Terry,King,Austin,TX,,Austin Nationals Cycling
35,117879,Michael,Shenk,Cedar Park,TX,,Austin Nationals Cycling
36,113482,Stefan,Hardie,Austin,TX,,Austin Nationals Cycling
37,91641,Joey,Machado,Austin,TX,,
38,219992,Dave,Simmons,Wilmington,NC,,
39,73873,Rickey,Wilson,Arlington,TX,,Team Bicycles Inc.
40,331348,Jon,Kieffer,Dallas,TX,,Mirage
41,109067,Clayton,Arhelger,Dallas,TX,,Dallas Racing

01/21/2012 Road Race Men Master 50+
Place,License #,First,Last,City,State,Time,Team
1,45045,Thomas,Bain,San Antonio,TX,,Geri Atrix
2,203152,Steve,Waters,New Braunfels,TX,,
3,49894,Michael,Reade,Granbury,TX,,Team Bicycles Inc.
4,310674,Clif,Cassidy,Dallas,TX,,Colavita Racing Inc.
5,212903,David,Ludwigson,Cambria,CA,,Loon State Cyclists
6,204437,Kevin,Barton,San Antonio,TX,,Joes Pro Bikes
7,23465,Robert,McGhee,Austin,TX,,Mirage
8,162941,Barry,Klunder,Haslet,TX,,Team Bicycles Inc.
9,304426,ralph,harris,San Antonio,TX,,Soler's Sports
10,115408,Russell,DeBarbieris,Sugar Land,TX,,
11,4441,Russell,Bowers,Flower Mound,TX,,
12,110566,Spencer,Jewell,Waco,TX,,Geri Atrix
13,247596,Douglas,Darling,Pleasant View,UT,,Team Bicycles Inc.
14,296306,Gradyn,Comfort,Houston,TX,,Red's Racing
15,90097,Joe,Udell,Dripping Springs,TX,,Kelly's Team
16,73873,Rickey,Wilson,Arlington,TX,,Team Bicycles Inc.
17,331348,Jon,Kieffer,Dallas,TX,,Mirage

01/21/2012 Road Race Men Cat 4/5
Place,License #,First,Last,City,State,Time,Team
1,339558,James,Perrin,Deer Park,TX,,Bike Barn (Texas)
2,324678,Corey,Fish,Portland,OR,,787 Racing
3,316698,Jaxson,Appel,League City,TX,,Propaganda Bike Shop
4,317344,Rhett,McKeller,Mc Kinney,TX,,McKinney Velo
5,294255,Rick,Francis,Mansfield,TX,,Mirage
6,335200,Barry,Brummund,Southlake,TX,,Knobbies & Slicks Bike Shop
7,257340,Eddie,Hernandez,Whitehouse,TX,,Tyler Bicycle Club Race Team
8,343156,David,Dederichs,Mckinney,TX,,McKinney Velo Club
9,260618,Kent,Myers,Austin,TX,,VooDoo Racing
10,336980,Paul,Baird,Salado ,TX,,Velossimo Racing
11,351130,Nard,Moseley,Dallas,TX,,KingRacingGroup
12,271687,Richard,Linebaugh,Sweetwater,TX,,Team Bicycles Inc.
13,310983,Tice,Porterfield,Bertram,TX,,T3Multisports
14,274330,Daniel,Perkins,Littleton,CO,,M7 Racing
15,321548,Nathan,Aust,Grand Prairie,TX,,Velossimo Racing
16,333508,Breck,VonderHoya,Temple,TX,,Tri-City Bicycles
17,255241,Theron,Sweet,Austin,TX,,Ghisallo Foundation
18,366168,seth,cooke,Tyler,TX,,Tyler Bicycle Club Race Team
19,321926,Matthew,Looney,Denison,TX,,McKinney Velo Club
20,353980,Enoc,Ishida,Cedar Hill,TX,,North Texas Cycling
21,270736,Victor,Alvarez,Choctaw,OK,,
