Tour of Somerville in Somerville NJ Results

05/27/2012 Criterium Men Pro/Cat 1
Place,License #,First,Last,City,State,Time,Team
1,229135,Luke,Keough,Colorado Springs,CO,,Team Mountain Khakis/SmartStop
2,0,Alexander,Serebryakov,,,,Team Type 1 SANOFI
3,0,Demis,Aleman,,,,Jamis Sutter Home
4,288134,Alejandro,Borrajo,Lemon Grove,CA,,Jamis Sutter Home
5,120588,Sterling,Magnell,Santa Rosa,CA,,Wonderful Pistachios Professional Cycling Team
6,0,Aldo Ino,Ilesic,,,,Team Type 1 SANOFI
7,0,Deivy,Capellan,,,,
8,0,Anuar,Manan,,,,Champion System Pro Cycling Team
9,218049,Colin,Jaskiewicz,Montclair,NJ,,Champion System p/b Stan's NoTubes/CRCA
10,0,Rafael  A.,Meran,,,,CRCA/Foundation
11,0,Euris R.,Vidal,,,,CRCA/Foundation
12,334672,Carlos,Alzate Escobar,Boise,ID,,Team Exergy
13,250645,Jeremy,Durrin,Westhampton,MA,,J.A.M. Fund / NCC
14,0,Augusto,Sanchez,,,,
15,307825,Stalin,Quiterio Cuello,Fort Lee,NJ,,Team Somerville Bicycle Shop
16,193990,Anthony,Lowe,Brooklyn,NY,,WS United/MangoSeed/Lucarelli&Castaldi
17,94892,Michael,Busa,Easthampton,MA,,J.A.M. Fund / NCC
18,54434,Aaron,Hubbell,Durham,NH,,Bissell-ABG-NUVO
19,27167,Adam,Pantastico,Cranford,NJ,,Metra/Cycle 54 Cycling Team
20,81521,David,Martin,Morristown ,NJ,,Metra / Cycles 54 cycling team
21,65744,Rafal,Urzedowski,Woodbridge,NJ,,Northeastern Hardware / CJCT
22,55755,Skip,Foley,Concord,MA,,ATA Cyclery
23,53502,John,Durso,Morris Plains,NJ,,Colavita Racing
24,203439,Nick,Keough,Sandwich,MA,,www.keoughcyclocross.com
25,238217,Adam,Farabaugh,Boulder,CO,,XO COMMUNICATIONS p/b CISCO
26,229606,Jesse,Keough,Sandwich,MA,,www.keoughcyclocross.com
27,280764,Timothy,Rugg,Tucson,AZ,,Champion System p/b Stan's NoTubes/CRCA
28,0,David,Lozano,,,,Team Type 1 SANOFI
29,103440,Eric,Workowski,Kutztown,PA,,Fuji
30,0,Kevin,Massicotte,,,,NATIVO CONCEPT
31,47684,Anthony,Taylor,Brooklyn,NY,,CRCA / Dave Jordan Coaching- Leopard Cycles.com
32,0,Matteo,Dal-Cin,,,,Ride With Rendall
33,218359,Maurice,Gamanho,Lebanon,NJ,,Van Dessel Factory Team
34,275915,Luciano,Bezerra,Bridgeport,CT,,navone studios/greenwood floors
35,177933,Joe,Whitman,State College,PA,,Stan's NoTubes / AXA Equitable
36,0,Michael,Larsen,,,,Full Circle Cycling
37,309642,Elvi,Rodriguez Garcia,Branchburg,NJ,,Team Somerville Bicycle Shop
38,275731,S Charles,Zamastil,Wichita Falls,TX,,160over90 p.b. Vie 13/QCW
39,259043,John,Shalekbriski,Spokane,WA,,US Military Cycling
40,0,Matthias,Friedemann,,,,Champion System Pro Cycling Team
41,0,Glen,Rendall,,,,Ride with Rendall
