Walburg Classic in Walburg TX Results

11/10/2012 Cyclo-cross Men Cat3 senior
Place,License #,First,Last,City,State,Time,Team
13,164083,Brandon,Cavnar,Moore,OK,,OKC Velo club

11/10/2012 Cyclo-cross Men CAT 4 senior
Place,License #,First,Last,City,State,Time,Team
7,291400,Mike,Patrick,Tulsa,OK,,

11/10/2012 Cyclo-cross Men Cat 4
Place,License #,First,Last,City,State,Time,Team
7,291400,Mike,Patrick,Tulsa,OK,,Tom's Bicycles

11/10/2012 Cyclo-cross  Cat 4
Place,License #,First,Last,City,State,Time,Team
13,164083,Brandon,Cavnar,Moore,OK,,OKC Velo club

02/25/2012 Road Race Men Pro/Cat 1
Place,License #,First,Last,City,State,Time,Team
1,197714,Joseph,Schmalz,Lawrence,KS,,Elbowz Racing
2,366920,Heath,Blackgrove,Austin,TX,,Elbowz Racing
3,89282,David,Wenger,Austin,TX,,Bicycle Sport Shop pb Integrity
4,205741,Stefan,Rothe,Austin,TX,,Tulsa Wheelmen
5,276550,Elkin,Arteaga,Anchorage,AK,,Velossimo Racing
6,212698,Eric,Marcotte,Scottsdale,AZ,,Elbowz Racing
7,7243,John,Cody,San Antonio,TX,,Bicycle-Heaven
8,337040,Stephan,Hirsch,Oklahoma City,OK,,787 Racing
9,249581,Christopher,Haga,Mckinney,TX,,Bicycle Sport Shop pb Integrity
10,168914,Tyler,Jewell,Austin,TX,,Elbowz Racing
11,35598,Stephen,Tilford,Topeka,KS,,
12,34257,William,Stolte,Topeka,KS,,TradeWind Energy Cycling Team
13,225276,Collin,Davis,Euless,TX,,Plano Athletic Cycling Club/PACC
14,63195,Christopher,Powers,Flower Mound,TX,,Matrix/RBM
15,247280,John,Coppin,Belton,TX,,TEAM FLAT BELLY ORGANICS
16,6135,Chris,Carlson,Plano,TX,,Matrix/RBM
17,291724,Nicholas,Boulle,Dallas,TX,,DNA Racing
18,271716,Colton,Jarisch,Austin,TX,,Mercy  Cycling Team
19,240752,Christopher,Trickey,Austin,TX,,Team Wooly Mammoth
20,199154,Henk,Calderon,Bellaire,TX,,Nick Lopez Tailoring Cycling Team
21,266238,Andrew,Gonzales,Austin,TX,,Elbowz Racing
22,117896,Phil,Wikoff,Asheville,NC,,Bicycle Sport Shop pb Integrity
23,222625,Loren,Dodson,Austin,TX,,Velossimo Racing
24,60849,Michael,Brown,Dallas,TX,,McKinney Velo Club
