LAVRA Sprint Open 2 p/b Momentum Coaching Group in Carson CA Results

09/14/2014 Flying Time Trial Mixed Open
Place,License #,First,Last,City,State,Time,Team
1,333724,Nathan,Koch,Long Beach,CA,10.92,Bike Religion
2,427414,Ethan,Boyes,San Francisco,CA,10.99,
3,273985,Quinn,Hatfield,Los Angeles,CA,11.37,Momentum Coaching Group p/b Atomic
4,290181,Edward,Horvet,West Hills,CA,11.38,LUX/Specialized by Cynergy
5,148237,Eric,Geier,La Jolla,CA,11.45,SDBC/EMERALD TEXTILES
6,0,Travis,Smith,,,11.46,
7,141562,Daniel,Reback,Highlands Ranch,CO,11.59,Surf City Cyclery/STERLING BMW
8,280745,Chazmichael,Morales,El Segundo,CA,11.65,Team Rokform
9,142263,Matthew,Diefenbach,Pottstown,PA,11.67,Team Alliance Environmental
10,38811,Jay,Wolkoff,Altadena,CA,11.77,Radsport Cycling Team
11,45892,Kurt,Sato,San Pedro,CA,11.84,South Bay Wheelmen
12,46634,Aron,Seiken,Santa Fe,NM,11.86,Momentum Coaching Group p/b Atomic
13,104797,Kenneth,Lo,San Francisco,CA,12.17,Performance Cycle Coaching
14,148607,Brian,Sullivan,Long Beach,CA,12.21,Velo Allegro
15,110146,Robert,Pelegrin,Redondo Beach,CA,12.23,Team Makuri
16,384218,Ian,MacNeill,San Diego,CA,12.24,SDBC/EMERALD TEXTILES
17,126404,Dennis,Pedersen,Santa Cruz,CA,12.31,Team Bicycle Trip
18,230031,Rich,Rozzi,San Jose,CA,12.44,Firefighters Cycling Association
19,290413,Todd,Woodlan,Los Angeles,CA,12.58,
20,330424,Dominic,Clark,Ventura,CA,12.6,Metalmtn Cycling/Halpern Law
21,251475,Dana,Feiss,Colorado Springs,CO,12.66,Team Alliance Environmental
22,393882,James,Moore,Santa Ana ,CA,12.86,Team Rokform
23,394772,Daniel,Freilich,San Diego,CA,12.94,University of California-San Diego
24,0,Nelson,Lindsay,,,12.98,
25,184451,Anissa,Cobb,Seattle ,WA,13.07,
26,423825,Jordan,Ellison,Colorado Springs,CO,13.13,
27,46898,James,Kloss,Huntington Beach,CA,13.24,South Bay Wheelmen
28,180423,Colleen,Gulick,Spring City,PA,13.84,Team EPS/CSS p/b Shebell &Shebell
29,50829,Robert,Francis,Scottsdale,AZ,14.38,Team RPM p/b Bicycle Ranch
30,69768,Melanie,Peterson,Hawthorne,CA,14.7,South Bay Wheelmen
31,381514,Ivy,Koester,Los Angeles,CA,14.96,Flight School - La Grange U21
32,186865,Morgan,Kapp,Spokane,WA,15.33,Northeast Alabama Bicycle Association
33,423288,Aileen,Tran,San Diego,CA,15.7,
34,393634,Wulfgang,Lochmiller,San Diego,CA,16.06,

09/14/2014 Sprint Mixed Elite
Place,License #,First,Last,City,State,Time,Team
1,333724,Nathan,Koch,Long Beach,CA,,Bike Religion
2,427414,Ethan,Boyes,San Francisco,CA,,
3,273985,Quinn,Hatfield,Los Angeles,CA,,Momentum Coaching Group p/b Atomic
4,142263,Matt,Diefenbach,Pottstown,PA,,Team Alliance Environmental
5,148237,Eric,Geier,La Jolla,CA,,SDBC/EMERALD TEXTILES
6,290181,Edward,Horvet,West Hills,CA,,LUX/Specialized by Cynergy
7,141562,Daniel,Reback,Highlands Ranch,CO,,Surf City Cyclery/STERLING BMW
8,46634,Aron,Seiken,Santa Fe,NM,,Momentum Coaching Group p/b Atomic

09/14/2014 Sprint Mixed Round Robin
Place,License #,First,Last,City,State,Time,Team
1,290413,Todd,Woodlan,Los Angeles,CA,,
2,251475,Dana,Feiss,Colorado Springs,CO,,Team Alliance Environmental
3,393882,James,Moore,Santa Ana ,CA,,Team Rokform
4,394772,Daniel,Freilich,San Diego,CA,,University of California-San Diego
5,184451,Anissa,Cobb,Seattle ,WA,,Predator Cycling
6,310815,Lindsay,Nelson,Burbank,CA,,
7,180423,Colleen,Gulick,Spring City,PA,,Team EPS/CSS p/b Shebell &Shebell
8,46898,James,Kloss,Huntington Beach,CA,,South Bay Wheelmen
9,330424,Dominic,Clark,Ventura,CA,,Metalmtn Cycling/Halpern Law
10,50829,Robert,Francis,Scottsdale,AZ,,Team RPM p/b Bicycle Ranch
11,423825,Jordan,Ellison,Colorado Springs,CO,,
