San Dimas Stage Race in San Dimas CA Results

03/30/2014 Criterium Men Pro/Cat 1
Place,License #,First,Last,City,State,Time,Team
1,181725,Daniel,Holloway,Boulder,CO,1:27:24,Athlete Octane
2,65819,Bobby,Lea,Mertztown,PA,1:27:24,Pure Energy Cycling
3,85617,Fabrizio,Von Nacher,,,1:27:24,KHS-Maxxis-JAKROO
4,196405,Sean,Mazich,Yuma,AZ,1:27:24,Jelly Belly Cycling
5,184284,Ian,Crane,Seattle,WA,1:27:24,Jamis Hagens Berman
6,201874,Sergio,Hernandez,Rancho Cucamonga,CA,1:27:24,Incycle-Predator Tea
7,445034,Orlando,Garibay,,,1:27:24,Incycle-Predator Tea
8,237712,Sam,Bassetti,Santa Rosa,CA,1:27:24,5hr Energy p/b Kenda
9,421200,Brecht,Dhaene,Lake Zurich,IL,1:27:24,Astellas Cycling
10,218686,Jacob,Rathe,Portland,OR,1:27:24,Jelly Belly Cycling
11,434258,Federico,Marchiori,,,1:27:24,Team H&R Block
12,0,Tao,Geoghegan Hart,,,1:27:24,Bissell Development
13,293641,Anthony,canevari,Downey,CA,1:27:24,Athlete Octane
14,278526,David,Santos,San Diego,CA,1:27:24,KHS-Maxxis-JAKROO
15,175239,Eric,Losak,Boulder,CO,1:27:24,Spy Giant Ride P/B M
16,311588,Ansel,Dickey,Woodstock,VT,1:27:24,California Giant/ Sp
17,0,Clment,Chevrier,,,1:27:24,Bissell Development
18,0,Travis,Samuel,,,1:27:24,Jet Fuel Coffee-Norc
19,288135,Luis Alberto,Romero Amaran,Kingwood,TX,1:27:24,Jamis Hagens Berman
20,412590,eder,frayre,Chula Vista,CA,1:27:24,Incycle-Predator Tea
21,169774,Brian,McCulloch,Yucaipa,CA,1:27:24,KHS-Maxxis-JAKROO
22,432686,Bailey,McKnight,,,1:27:24,Trek Red Truck p/b M
23,428774,Gregory,Brenes,Northvale,NJ,1:27:24,Jamis Hagens Berman
24,195652,Max,Jenkins,Davis,CA,1:27:24,Marc Pro - Strava
25,399927,Matt,Green,Delafield,WI,1:27:24,Astellas Cycling
26,306276,Daniel,Eaton,Boulder,CO,1:27:24,Canyon Bicycles- Shi
27,194743,Winston,David,Greenville,SC,1:27:24,CRCA/Lupus Racing Te
28,183112,Cole,House,Oneida,WI,1:27:24,Intelligentsia Coffe
29,126996,Chad,Hartley,Milwaukee,WI,1:27:24,Athlete Octane
30,138681,Kirk,Carlsen,Orinda,CA,1:27:24,Jelly Belly Cycling
31,208936,Erik,Slack,Meridian,ID,1:27:24,Canyon Bicycles- Shi
32,525791,Ryan,Roth,,,1:27:24,Jet Fuel Coffee-Norc
33,0,Mario,Frayre,,,1:27:24,SoCalCycling.com / C
34,222542,Emerson,Oronte,Boulder,CO,1:27:24,Horizon Organic | Ei
35,0,Efren Ortega,Rivera,,,1:27:24,Predator Cycling
36,405114,Dustin,Andrews,,,1:27:24,Trek Red Truck p/b M
37,0,Serghei,Tevetkov,,,1:27:24,Jelly Belly Cycling
38,287487,Bryan,Duke,San Luis Obispo,CA,1:27:24,Bear Development Tea
39,256803,Kennett,Peterson,Boulder,CO,1:27:24,Firefighters Upsala
40,254025,Robin,Eckmann,Boulder,CO,1:27:24,California Giant/ Sp
41,262949,Cortlan,Brown,Woods Cross,UT,1:27:24,Astellas Cycling
42,189118,Morgan,Schmitt,Seattle,WA,1:27:24,Canyon Bicycles- Shi
43,434257,Garrett,McLeod,,,1:27:24,Team H&R Block
44,188572,Andrew,Dahlheim,Greenville,SC,1:27:24,Athlete Octane
45,427738,James,Oram,Santa Rosa,CA,1:27:24,Bissell Development
46,286536,Coulton,Hartrich,Thousand Oaks,CA,1:27:24,SeaSucker / Guttenplan Coaching
47,0,Eloy,Teruel,,,1:27:24,Jamis Hagens Berman
48,467841,Ryan,Aitcheson,,,1:27:24,Astellas Cycling
49,405903,Adam,de Vos,,,1:27:24,Team H&R Block
50,498261,Fabio,Calabria,Alpharetta,GA,1:27:24,Horizon Organic | Ei
51,422551,Daniel,Jaramillo Diez,Albuquerque,NM,1:27:24,Jamis Hagens Berman
52,252699,Kit,Recca,Golden,CO,1:27:24,Horizon Organic | Ei
53,155190,Chad,Beyer,Scottsdale,AZ,1:27:24,5hr Energy p/b Kenda
