Iron Mountain  MTB Marathon in Arkadelphia AR Results

04/19/2015 Cross Country Marathon Men OPEN Senior 0-29
Place,License #,First,Last,City,State,Time,Team
1,353998,Austin,Morris,Colcord,OK,3:14:11,American Classic Elite Gravel Team p/b Bicycle X-Change
1,353998,Austin,Morris,Colcord,OK,3:14:11,American Classic Elite Gravel Team p/b Bicycle X-Change
1,353998,Austin,Morris,Colcord,OK,3:14:11,American Classic Elite Gravel Team p/b Bicycle X-Change
2,290891,Kevin,Conerly,Brandon,MS,3:19:42,
2,290891,Kevin,Conerly,Brandon,MS,3:19:42,
2,290891,Kevin,Conerly,Brandon,MS,3:19:42,
3,338178,Caleb,Pierce,North Little Rock,AR,3:33:13,Central Arkansas Velo/CARVE
3,338178,Caleb,Pierce,North Little Rock,AR,3:33:13,Central Arkansas Velo/CARVE
3,338178,Caleb,Pierce,North Little Rock,AR,3:33:13,Central Arkansas Velo/CARVE
4,442718,Brendan C,Harshman,Cedar Point,KS,3:33:55,
4,442718,Brendan C,Harshman,Cedar Point,KS,3:33:55,
4,442718,Brendan C,Harshman,Cedar Point,KS,3:33:55,
5,362004,Garrett,Rolfe,Haughton,LA,3:44:13,Team LaS'port
5,362004,Garrett,Rolfe,Haughton,LA,3:44:13,Team LaS'port
5,362004,Garrett,Rolfe,Haughton,LA,3:44:13,Team LaS'port
6,473175,Logan,McLain,Bossier City,LA,3:54:03,
6,473175,Logan,McLain,Bossier City,LA,3:54:03,
6,473175,Logan,McLain,Bossier City,LA,3:54:03,
7,448510,Nathan,Klammer,Fayetteville,AR,4:04:42,University of Arkansas Cycling Team
7,448510,Nathan,Klammer,Fayetteville,AR,4:04:42,University of Arkansas Cycling Team
7,448510,Nathan,Klammer,Fayetteville,AR,4:04:42,University of Arkansas Cycling Team
8,435411,Wyatt,Hoyt,Alexander,AR,5:00:05,
8,435411,Wyatt,Hoyt,Alexander,AR,5:00:05,
8,435411,Wyatt,Hoyt,Alexander,AR,5:00:05,
9,439587,Benjamin,Robles,Little Rock,AR,5:07:35,Central Arkansas Velo/CARVE
9,439587,Benjamin,Robles,Little Rock,AR,5:07:35,Central Arkansas Velo/CARVE
9,439587,Benjamin,Robles,Little Rock,AR,5:07:35,Central Arkansas Velo/CARVE

04/19/2015 Cross Country Marathon Men OPEN Master 30-39
Place,License #,First,Last,City,State,Time,Team
1,299757,Travis,Donn,Kansas City,MO,3:10:01,Ethos Racing
1,299757,Travis,Donn,Kansas City,MO,3:10:01,Ethos Racing
1,299757,Travis,Donn,Kansas City,MO,3:10:01,Ethos Racing
2,174449,Jason,Knight,Shawnee,OK,3:22:02,Ethos Racing
2,174449,Jason,Knight,Shawnee,OK,3:22:02,Ethos Racing
2,174449,Jason,Knight,Shawnee,OK,3:22:02,Ethos Racing
3,328954,Griffin,Hamilton,Lenexa,KS,3:24:40,Ethos Racing
3,328954,Griffin,Hamilton,Lenexa,KS,3:24:40,Ethos Racing
3,328954,Griffin,Hamilton,Lenexa,KS,3:24:40,Ethos Racing
4,289509,Charlie,Roberts,Little Rock,AR,4:00:28,Panda Racing Development
4,289509,Charlie,Roberts,Little Rock,AR,4:00:28,Panda Racing Development
4,289509,Charlie,Roberts,Little Rock,AR,4:00:28,Panda Racing Development
5,397111,John,Kyzar,Bossier City,LA,4:01:43,SweatBloodDirt.com
5,397111,John,Kyzar,Bossier City,LA,4:01:43,SweatBloodDirt.com
5,397111,John,Kyzar,Bossier City,LA,4:01:43,SweatBloodDirt.com
6,261658,Alan,Rowell,Batesville,AR,5:48:12,
6,261658,Alan,Rowell,Batesville,AR,5:48:12,
6,261658,Alan,Rowell,Batesville,AR,5:48:12,

04/19/2015 Cross Country Marathon Men OPEN Master 40-49
Place,License #,First,Last,City,State,Time,Team
1,188094,Ramon,Barreto,Little Rock,AR,3:29:20,
1,188094,Ramon,Barreto,Little Rock,AR,3:29:20,
1,188094,Ramon,Barreto,Little Rock,AR,3:29:20,
