Snake Alley Criterium in Burlington IA Results

05/23/2015 Criterium Men Pro/Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,238311,Christopher,Uberti,Cincinnati,OH,,UCI CT: Astellas Cycling Team
2,499109,Chris,Winn,Lakewood,CO,,Horizon Organic/Einstein Bros Cycling
3,222488,Logan,Owen,Bremerton,WA,,BISSELL Development Team
4,221190,Adam,Leibovitz,Indianapolis,IN,,UCI CT: Champion System - Stans NoTubes
5,285991,David,Lombardo,Crystal Lake,IL,,Hagens Berman U-23
6,210584,Adam,York,East Lansing,MI,,WAS Labs Cycling
7,301051,Spencer,Petrov,Mason,OH,,Hincapie Cycling
8,181725,Daniel,Holloway,Boulder,CO,,AltoVelo-Sea Sucker Factory Racing
9,200724,Isaac,Neff,Madison,WI,,5Nines/Motorless Motion
10,236923,Connor,Brown,Grandview,MO,,Gateway Harley-Davidson Trek U23 Development
11,191703,Thomas,Brown,Athens,GA,,UCI PCT: Team Novo Nordisk
12,161263,Ryan,Knapp,Bloomington,IN,,First Internet Bank Cycling Team
13,424384,Dennis,Ramirez,Barnhart,MO,,Gateway Harley-Davidson Trek U23 Development
14,443165,Jordan,Kerby,Boulder,CO,,
15,145071,Tristan,Schouten,Plymouth,WI,,
16,247652,Grant,Erhard,Saint Louis,MO,,SBR Quantum Racing
17,459122,Dan,Gardner,Milwaukee,WI,,UCI CT: Astellas Cycling Team
18,287030,Charles (Mac),Cassin,Boulder,CO,,Athlete Octane Cycling
19,35598,Stephen,Tilford,Topeka,KS,,TradeWind Energy
20,335050,Ben,Schmutte,Noblesville,IN,,Zone-6 Cycling
21,295328,Lucas,Marshall,Omaha,NE,,Harvest Racing p/b Midwest Cycling Trek Stores
22,320582,Matthew,Zimmer,Dewitt ,IA,,Credite Velo - Trek
23,257134,Joshua,Johnson,Fort Wayne,IN,,ICC BISSELL-ABG-GIANT
24,229367,David,Goodman,Athens,GA,,The 706 Project
