Fouche Gap Road Race in Rome GA Results

04/04/2015 Road Race Men PRO 1/2 Open
Place,License #,First,Last,City,State,Time,Team
1,257316,Stephen,Bassett,Knoxville,TN,3:12:55.697,Hagens Berman U-23
1,257316,Stephen,Bassett,Knoxville,TN,3:12:55.697,Hagens Berman U-23
1,257316,Stephen,Bassett,Knoxville,TN,3:12:55.697,Hagens Berman U-23
2,369511,Mark,Fisher,Hoover,AL,3:12:57.920,Village Volkswagen Cycling Team
2,369511,Mark,Fisher,Hoover,AL,3:12:57.920,Village Volkswagen Cycling Team
2,369511,Mark,Fisher,Hoover,AL,3:12:57.920,Village Volkswagen Cycling Team
3,191703,Thomas,Brown,Athens,GA,3:13:10.237,UCI PCT: Team Novo Nordisk
3,191703,Thomas,Brown,Athens,GA,3:13:10.237,UCI PCT: Team Novo Nordisk
3,191703,Thomas,Brown,Athens,GA,3:13:10.237,UCI PCT: Team Novo Nordisk
4,434120,Mehdi,Benhamouda,Alpharetta,GA,3:13:20.293,
4,434120,Mehdi,Benhamouda,Alpharetta,GA,3:13:20.293,
4,434120,Mehdi,Benhamouda,Alpharetta,GA,3:13:20.293,
5,399650,Brock,Mason,Athens,GA,3:13:25.087,Prima Tappa Cycling p/b Mansfield Oil
5,399650,Brock,Mason,Athens,GA,3:13:25.087,Prima Tappa Cycling p/b Mansfield Oil
5,399650,Brock,Mason,Athens,GA,3:13:25.087,Prima Tappa Cycling p/b Mansfield Oil
6,348098,Ian,Garrison,Decatur,GA,3:13:27.773,Masters Cycling Systems LLC.
6,348098,Ian,Garrison,Decatur,GA,3:13:27.773,Masters Cycling Systems LLC.
6,348098,Ian,Garrison,Decatur,GA,3:13:27.773,Masters Cycling Systems LLC.
7,160295,Frank,Travieso,Athens,GA,3:13:31.620,UCI CT: Team SmartStop p/b Mountain Khakis
7,160295,Frank,Travieso,Athens,GA,3:13:31.620,UCI CT: Team SmartStop p/b Mountain Khakis
7,160295,Frank,Travieso,Athens,GA,3:13:31.620,UCI CT: Team SmartStop p/b Mountain Khakis
8,377671,Austin,Ulich,Athens,GA,3:13:38.023,Team United Healthcare Georgia/706P
8,377671,Austin,Ulich,Athens,GA,3:13:38.023,Team United Healthcare Georgia/706P
8,377671,Austin,Ulich,Athens,GA,3:13:38.023,Team United Healthcare Georgia/706P
