Indiana Criterium State Championship in Speedway IN Results

08/15/2015 Criterium Men Cat 1/2/3/4/5 Junior 10-14
Place,License #,First,Last,City,State,Time,Team
1,386461,Marek,Hayes,Brazil,IN,,Terre Haute Cycling
1,469168,Margot,Grotland,Indianapolis,IN,,Midwest Development Cycling Inc.
2,407249,Alex,Ditchen,Loveland,OH,,Team Dayton Bicycling
3,341996,will,johnson,Pendleton,IN,,team Matthews racing
4,454220,Max,Palmer,Zionsville,IN,,Midwest Development Cycling Inc.
5,466625,Logan,Ott,Goshen,IN,,None
6,417068,Ayrton,Houk,Mccordsville,IN,,Midwest Development Cycling Inc.

08/15/2015 Criterium Men Cat 1/2/3/4/5 Junior 15-18
Place,License #,First,Last,City,State,Time,Team
1,292244,Jedidiah,Fritzinger,Georgetown,IN,,Papa Johns Racing
2,292245,Edward,Fritzinger,Georgetown,IN,,Papa Johns Racing
3,432819,ryan,bredemeyer,Bloomington,IN,,Scholars Inn Bakehouse Team Tortuga
4,439310,Conor,Swan,Zionsville,IN,,T3 Cycling Team
5,433604,Jake,Hreha,Berne ,IN,,Edge Cycling Team
6,475455,Colin,Burkins,Plymouth,IN,,None

08/15/2015 Criterium Men Cat 1/2/3/4/5 Master 40+
Place,License #,First,Last,City,State,Time,Team
1,669,Matt,Bole,Loveland,OH,,Team Dayton Bicycling
2,242842,Mike,Sherman,Carmel,IN,,ZIPP Masters Team
3,46006,Curtis,Tolson,Louisville,KY,,Texas Roadhouse
4,65323,Harry,Clark,Carmel,IN,,Team Heroes- MOB
5,51261,Court,Maple,Fishers,IN,,Team Heroes- MOB
6,107684,Ben,Weaver,Columbus,IN,,ZIPP Masters Team
7,82244,chris,richter,Fishers,IN,,First Internet Bank Cycling Team
8,263833,Andrzej,Banaszkiewicz,Brownsburg,IN,,ICC BISSELL-ABG-GIANT
9,8003,Thomas,Cox,Bloomington,IN,,Team Heroes- MOB
10,197148,Eric,Barnett,Nicholasville,KY,,Texas Roadhouse
11,177206,Felipe,Cardenas,Indianapolis,IN,,None
12,14742,William,Hallberg,Indianapolis,IN,,Team Indiebike p/b IU Health
13,273999,Todd,Belanger,Carmel,IN,,Rollfast
14,109373,Stephen,Spanbauer,Louisville,KY,,Texas Roadhouse
15,200905,Don,Birch,Indianapolis,IN,,Team Heroes- MOB
16,58676,Patrick,Meyer,Carmel,IN,,ROLLFAST
17,344456,Stephen,Hulsman,La Grange,KY,,Texas Roadhouse
18,247192,Jeremy,Gagan,Westfield,IN,,None
19,423294,Thomas,Burridge,Louisville,KY,,Scheller's Racing Team
20,84148,DARREN,WILLIAMS,Roanoke,IN,,Fayetteville Wheelmen
