CLIF® Bar CrossVegas in Las Vegas NV Results

09/16/2015 Cyclo-cross Men Wheelers and Dealers
Place,License #,First,Last,City,State,Time,Team
1,206349,Molly,CAMERON,Portland,OR,37:27:00,
2,365566,Bryce,OLSEN,Ogden,UT,37:57:00,
3,161831,Tim,ALLEN,Golden,CO,37:58:00,
4,211669,Scott,CHAPIN,Santa Cruz,CA,38:17:00,
5,28646,Brent,PRENZLOW,Carlsbad,CA,38:24:00,
6,82774,Victor,SHELDON,Vista,CA,38:26:00,
7,0,David,VEILLEUX,,,38:33:00,
8,248976,Sean,ESTES,Morgan Hill,CA,39:03:00,
9,266467,Kurt,WOLFGANG,San Francisco,CA,39:08:00,
10,89388,Bryson,PERRY,Draper,UT,39:08:00,
11,415302,Benjamin,GOMEZ VILLAFANE,Scotts Valley,CA,39:09:00,
12,381626,Nick,FISHER,Ogden,UT,39:12:00,
13,164883,Nate,RIFFLE,Santa Cruz,CA,39:16:00,
14,390557,Charles,CHRISTIANSEN,San Francisco,CA,39:36:00,
15,0,Mike,SARNECKI,,,39:42:00,
16,75253,Andy,LULL,Boulder,CO,39:50:00,
17,26803,Jake,ORNESS,San Diego,CA,39:59:00,
18,215131,Brad,COLE,Fort Collins,CO,40:11:00,
19,162082,Mike,HILEMAN,Las Vegas,NV,40:14:00,
20,370456,Brodie,STRINGER,Walnut Creek,CA,40:41:00,
21,20084,Paul,LACAVA,Portland,OR,40:42:00,
22,43191,Garnet,VERTICAN,Crestline,CA,40:49:00,
23,13529,Michael,GOLDBERG,Boulder,CO,40:50:00,
24,37838,Steve,WESTOVER,Seattle,WA,40:54:00,
25,114686,Nathan,GOATES,Shippensburg,PA,40:55:00,
26,47232,Bill,ELLISTON,Easton,PA,40:56:00,
27,37549,Kenny,WEHN,Durango,CO,40:57:00,
28,132690,Daisuke,YANO,Portland,OR,41:02:00,
29,186832,William,ALLEN,Golden,CO,41:07:00,
30,64112,Michael,ROBSON,Boulder,CO,41:09:00,
31,131233,Phillip,GRAY,Carlsbad,CA,41:30:00,
