NBX Gran Prix of Cross in Warwick RI Results

12/06/2015 Cyclo-cross Men UCI Elite
Place,License #,First,Last,City,State,Time,Team
1,281380,Anthony,Clark,Feeding Hills,MA,1:00:53,Squid Bikes
2,268394,Dylan,Mcnicholas,Stratham,NH,1:01:24,POLARTEC
3,234696,Curtis,White,Delanson,NY,1:01:38,Cannondale p/b Cyclocrossworld.com
4,511169,Jeremy,Martin,Boischatel,QU,1:02:14,Louis Garneau
5,376904,Scott,Smith,Westhampton,MA,1:02:40,JAM/NCC/Vittoria
6,368473,Jack,Kisseberth,Westhampton,MA,1:03:22,JAM/NCC/Vittoria
7,52534,Adam,Myerson,Dorchester,MA,1:03:34,Cycle-Smart
8,193706,Adam,St Germain,Burlington,VT,1:03:35,NEXT-BMB
9,129914,Alec,Donahue,Easthampton,MA,1:03:36,JAM/NCC/Vittoria
10,35613,Matthew,Timmerman,Fulton,NY,1:03:40,Cannondale
11,303659,Kyle,Murphy,Townshend,VT,1:03:51,Hudson/Ludwig & Larsen Racing
12,264739,Daniel,Chabanov,Philadelphia,PA,1:04:12,HOUSE IND/WITHINGS/SIMPLEHUMAN
13,307642,Evan,Murphy,Portland,OR,1:04:16,Hudson/Ludwig & Larsen Racing
14,245927,Michael,Mihalik,Sewickley,PA,1:04:17,Jmac Cycling/Novacare
15,278103,Gerald,Adasavage,Brooklyn,NY,1:05:06,Hudson/Ludwig & Larsen Racing
16,325388,Charles,Berhtram,Roxbury,MA,1:05:13,Team Cuppow
17,203439,Nicholas,Keough,Sandwich,MA,1:05:24,Keough Cyclocross
18,295654,Austin,Skomra,Buffalo,NY,1:05:28,Cycle-Smart Grassroots Team
19,394991,Patrick,Collins,Shrewsbury,MA,1:05:39,Minuteman Road Club
20,195091,Benjamin,Grenier,Lewiston,ME,1:05:45,Rancourt & Co. Cycling
21,477589,Michael,Landry,New Haven,CT,1:05:52,Yale
22,254653,Nicolas,Catlin,Fairfield,CT,1:05:57,Sherpa
23,403141,Andrew,Lints,Brookfield,VT,1:06:16,RIT Cycling
24,350320,Matthew,Sousa,Somerville,MA,1:06:20,Team Cuppow
25,448842,Matt,Perreault,Merrimac,MA,1:06:35,Colonial Bicycle Company
26,163893,Timothy,Ratta,Guilford,CT,1:06:51,Barks X Wreck Adventure Club
27,394962,David,Berg,Hanover,NH,1:06:58,Dartmouth College
28,180389,Aaron,Oakes,Marion,MA,1:06:58,NYCROSS p/b Craft
29,147771,Colin,Reuter,Somerville,MA,1:08:20,crossresults.com
30,314038,Keith,Garrison,Brooklyn,NY,1:08:32,KING KOG
31,303894,Colin,Tanner,Brooklyn,NY,1:09:00,KING KOG
32,290782,Ian,Schon,Brookline,MA,1:09:19,Team Cuppow
33,314892,Ford,Murphy,Portsmouth,NH,1:09:30,Joe's Garage CX p/b BikeReg
34,433885,Andrew,McGowan,Baltimore,MD,1:09:53,C3-Twenty20 Cycling
35,233018,Eric,Carlson,Bristol,CT,1:10:04,Team Edge
36,349848,Andrew,Reimann,Bloomfield,NJ,2L,Cyclocross Magazine Racing
37,229606,Jesse,Keough,Sandwich,MA,3L,Keough Cyclocross
DNF,135665,Christian,Favata,Rosendale ,NY,DNF,TRT BICYCLES
DNF,254864,Samuel,O'Keefe,Breckenridge,CO,DNF,HOUSE IND/WITHINGS/SIMPLEHUMAN
DNF,439884,Tim,Willis,Brooklyn,NY,DNF,King Kog
DNF,285756,Ian,Keough,Sandwich,MA,DNF,Keough Cyclocross
DNF,0,Sylvain,Jean,,,DNF,Icebreaker Merino
DNF,327196,Kurt,Belhumeur,Jamaica Plain,MA,DNF,

12/06/2015 Cyclo-cross Men Junior Junior 9-14
Place,License #,First,Last,City,State,Time,Team
1,359642,Mikko,Aho,Worcester,MA,0:24:33,BayHill Capital
2,403158,Tommy,Servetas,Loudonville,NY,0:24:36,NYCROSS p/b Craft
3,411384,Aidan,Kiernan,Burlington,CT,0:25:32,RACE CF | racecf.org @racecf
4,442986,George,Piepgras,Swampscott,MA,0:25:33,Digital Lumens
5,416861,David,Thompson,New Canaan,CT,0:25:33,CT Cycling Advancement Junior Team
6,470616,Luca,Haines,Durham,NH,0:26:38,Cannondale Sports New England
7,359229,Aiden,Mapel,Southwick,MA,0:26:39,Northampton Cycling / JAM Fund
8,443344,Eliot,Donovan,Ipswich,MA,0:27:25,Essex County Velo (ECV)
9,488604,Kris,Hopkins,Narragansett,RI,0:27:32,
10,416213,Ned,Donovan,Ipswich,MA,0:28:00,Essex County Velo (ECV)
11,395048,Brian,Douglass,Wilbraham,MA,0:28:00,Competitive Edge Cycling
12,386812,Jonathan,Hills,Westmoreland,NH,0:28:02,Lionhearts Jr. Racing
13,457342,Brendan,Kelly,Albany,NY,0:28:34,HRRT
14,487187,Colby,Simone,Quincyquincy,MA,0:28:37,Sea Sports Hyannis
15,0,Luke,Mello,,,0:28:59,Union Velo
16,190797,Nate,Rogers,Seattle,WA,0:30:03,Elm City Velo p/b Andy's Cycle
17,489023,Geo,Mottram,Little Compton,RI,0:31:01,NEXT-BMB
18,448327,Miles,Mattern,Rochester,NY,0:31:20,
19,488341,Nathaniel,Gervez,Plymouth,NH,0:31:28,Rhino Bike Works
20,493845,Alexander,Rychlik,Acton,MA,0:31:37,
21,493116,Evan,Bulock,Mendon,MA,0:32:19,
22,0,Zachary,Amelotte,,,0:34:07,
23,459121,West,Williams,Cummington ,MA,P&P,Joe's Garage
24,0,Landon,Hughes,,,P&P,Fast Splits Multisport
25,485984,Nathaniel,Summers,Southington,CT,lapped,The RailTrailers
26,429839,Patrick,Kiernan,Burlington,CT,lapped,RACE CF | racecf.org @racecf
DNF,484658,Timmy,desrosiers,Acton,MA,DNF,Riverside racing
DNF,491775,James,Mottram,Quincy,MA,DNF,NEXT-BMB

12/06/2015 Cyclo-cross Men Cat 4/5
Place,License #,First,Last,City,State,Time,Team
1,404093,Liam,Holowesko,Deerfield,MA,0:32:16,Hot Tubes Cycling
2,390756,Finnegan,O'Connor,West Hatfield,MA,0:32:32,Competitive Edge Ski & Bike
3,433483,Samuel,Hedlund,Minneapolis,MN,0:32:38,UVM Cycling
4,13869,Scott,Graham,Littleton,NH,0:32:51,CNYC/ Littleton Bike and Fitness
5,414672,Arthur,Faria,North Kingstown,RI,0:32:58,Stedman's Bike Shop
6,429724,Benjamin,Jankowski,Mansfield,MA,0:33:18,UMass Bicycle Racing
7,279672,Colm,McMahon,Brookline,MA,0:33:26,545 Velo
8,390974,Sean,Frodyma,Tiverton,RI,0:33:35,
9,306894,james,hayes,Narragansett ,RI,0:33:50,Stedmans Bicycle Co.
10,430448,Kenny,Fries,New Bedford,MA,0:33:57,Team Spark CX P/B Marin
11,417647,Dan,Desmarais,Acushnet,MA,0:34:00,Team Spark / Homes for our Troops
12,42406,Steven,Brandt,Ashland,MA,0:34:12,Steve the Bike Guy
13,196909,Humberto,Raposo,Lisbon,CT,0:34:13,Expo Wheelmen
14,390317,Justin,Costa,Providence,RI,0:34:13,
15,300578,Gabriel,Remillard,West Hartford,CT,0:34:14,Team ERRACE p/b DSO Manufacturing
16,384352,Adam,Walton,Concord,MA,0:34:14,Cannondale Sports New England
17,394174,Gary,Parece,Somerset,MA,0:34:18,Arc en Ciel
18,466806,Brandon,Bowler,Amherst,NH,0:34:22,State 9 Racing
19,456194,Travis,Wold,Berlin,MA,0:34:22,Spin Arts Cycling
20,202959,James,Purtell,Somerset,MA,0:34:31,SVC/Bikeworks
21,13471,James,Godbey,Canton,MA,0:34:41,545 Velo
22,440705,Dunbar,Oehmig,Burlington,VT,0:34:42,
23,390336,timothy,mayo,Worcester,MA,0:34:51,Handsacrossworld.com
24,278426,Aime,Bourdon,Ashfield,MA,0:35:03,Northampton cycling club
25,458033,Erik,Carlson,East Greenwich,RI,0:35:03,New England Cycling Team p/b NESS
26,455596,Benito,Cecenas,Manchester,NH,0:35:06,UVM Cycling
27,321976,Todd,Gerarden,Somerville,MA,0:35:12,Harvard University
28,413101,Colin,Piepgras,Swampscott,MA,0:35:13,Digital Lumens
29,406968,Peter,Kiernan,Burlington,CT,0:35:16,RACE CF | racecf.org @racecf
30,303810,Bruce,Rychlik,Acton,MA,0:35:17,
31,362065,Donald,Powers,Hanover,NH,0:35:20,Tarm Biomass
32,245962,Timothy,Mather,Marlborough,CT,0:35:23,
33,292639,Jeffrey,White,Brooklyn,NY,0:35:23,Kissena Cycling Club
34,317060,Lewis,Collins,Wellesley,MA,0:35:23,545 Velo
35,439936,jason,lasalle,Cumberland,RI,0:35:24,NECT/NESS
36,309616,Paul,Rosenstrauch,Somerville,MA,0:35:26,Boston Road Club
37,228641,Sylvain,Loize,Barrington,RI,0:35:30,Providence Velo Club
38,385759,Stephen,Furrer,Cotuit,MA,0:35:36,Cape Cod Racing / C4
39,366769,Vincent,Crossley,New York,NY,0:35:36,Columbia University Cycling Team
40,359814,Roger,Wakeman,Exeter,NH,0:35:37,Colonial Bicycle Company
41,180641,Phil,Fragale,Montgomery,NY,0:35:39,Jamis Bikes / Verge Sport-Test pilot
42,239549,Andrew,Rizzi,Schenectady,NY,0:35:44,HRRT
43,205980,Ian,McFarland,Niantic,CT,0:35:46,Mystic Velo Club
44,443069,Jeffrey,Earl,Beverly,MA,0:35:47,Riverside Racing
45,136348,David,Stearns,Bolton,MA,0:36:01,VeloDogs
46,443876,Tobias,Ehrenberger,Boston,MA,0:36:05,MIT Cycling p/b Thoughtforms
47,414869,Noah,Chabot,Bolton,VT,0:36:05,NEXT-BMB
48,410625,Brian,Albert,Jamaica Plain,MA,0:36:06,Blue Hills Cycling Club
49,63581,David,Morgan,Saunderstown,RI,0:36:07,GOM
50,39488,Michael,Zimicki,Bondville,VT,0:36:11,Super Relax
51,397073,Tim,Bantham,Ballston Spa,NY,0:36:14,HRRT
52,270470,Thomas,Catalano,Hamilton,MA,0:36:14,C4 Racing/ Essex County Velo
53,410623,Kevin,Teves,Boylston,MA,0:36:16,Minuteman Road Club
54,486249,Justin,Walsh,Beverly,MA,0:36:21,
55,57290,Eric,Morris,Shelburne,VT,0:36:34,
56,110407,Ryan,Walker,Ballston Lake,NY,0:36:42,
57,488796,George,Nicholson,Dedham,MA,0:36:44,
58,484994,Sean,Weiss,Westford,MA,0:36:51,
59,0,Clay,Jones,,,0:36:56,
60,253258,Stuart,Streuli,Newport,RI,0:36:58,Ten Speed Spokes
61,424378,Joseph,ONeil,Salem,MA,0:36:59,NEBC p/b Cycle Loft
62,411169,Gregory,Addo,Brooklyn,NY,0:37:04,King Kog
63,413284,Anthony,Palermo,Waipahu,HI,0:37:05,Tony Balognies T Dewery
64,292631,Matthew,Vandivort,Newyork,NY,0:37:10,CRCA/Health Warrior p/b RK&O
65,32886,Andris,Skulte,Farmington,CT,0:37:11,Horst Engineering
66,348580,Eli,Grossman,South Woodstock,VT,0:37:11,NEXT-BMB
67,148661,Marc,Curtis,Bridgewater,MA,0:37:11,PBM Coaching / BikeBarnracing.com
68,486011,wyatt,gengler,West Point,NY,0:37:13,West Point Cycling Team
69,425297,Nathaniel,Ryan,Randolph,MA,0:37:16,Cannondale Sports New England
70,32007,Steven,Scott,Endicott,NY,0:37:35,cnyc
71,390833,Jack,Graham,West Point,NY,0:37:37,West Point Cycling Team
72,277119,David,Jaffe,Portsmouth,NH,0:37:39,Sunapee/Continental Paving/Buchikas
73,490961,Doug,Veilleux,Rochester,MA,0:37:39,
74,472319,Tom,Haines,Durham,NH,0:37:50,Cannondale Sports New England
75,360416,Roger,Spring,Wareham,MA,0:38:03,Team Spark
76,23244,Shawn,McCarthy,Salem,MA,0:38:08,Comperhensive racing
77,392062,Jacob,Tarbay,Altamont,NY,0:38:09,HRRT
78,81320,Matt,Lichack,Clinton,CT,0:38:09,
79,392031,Frederick,Perner,Brooklyn,NY,0:38:09,Silk Road Cycles/Hatchmap
80,105737,Keith,Bangs,Groton,CT,0:38:11,
81,235935,Daniel,Servetas,Loudonville,NY,0:38:14,Capital Bicycle Racing Club
82,422514,shawn,kelly,Albany,NY,0:38:15,Team Brewery Ommegang
83,486030,Ammon,Okazaki,West Point,NY,0:38:15,
84,485116,Chase,Kerzel,Weymouth,MA,0:38:18,Joey's Bike Shop
85,387865,Ian,Kola,Burlington,VT,0:38:19,Ashton Greycork Cycling Team
86,401465,Barney,Brannen,Thetford Center,VT,0:38:21,FullSquish Industries
87,359746,Peter,Mead,Portsmouth,NH,0:38:23,Colonial Bicycle Company
88,385955,David,Bettridge,Providence,RI,0:38:25,Providence Velo Club
89,344850,Tom,Fagan,Stow,MA,0:38:26,Atacycle
90,488603,Kris,Hopkins,Narragansett,RI,0:38:26,
91,454869,Christopher,Labby,North Grosvenordale,CT,0:38:30,
92,235103,John,Davenport,Richmond,RI,0:38:35,Usquepaugh Velo
93,356916,Patrick,O'Sullivan,Weymouth,MA,0:38:46,Keep It Tight
94,454821,Stephen,Heuser,Washington,DC,0:38:53,
95,425180,Stephen,Kohr,West Lebanon,NH,0:38:54,The Bike Hub
96,266263,James,Brosnan,New York,NY,0:38:55,KruisCX p/b Repucom
97,428721,Mark,Fuller,Providence,RI,0:38:57,Brown University
98,239967,John,Weaver,Groton,CT,0:38:59,NBX/Narragansett Beer/Apex
99,183600,Matthew,Juros,Haverhill,MA,0:39:00,Riverside
100,380735,Jeremy,Saksik,Brighton,MA,0:39:09,pedalpowertraining.com
101,2467,David,Bancroft,Fairhaven,MA,0:39:10,Team Spark HFOT
102,6114,Jason,Carleton,Ashland,MA,0:39:34,Steve The Bike Guy
103,488948,Gavin,Hawkes,Franklinville,NJ,0:39:48,RIT Cycling
104,358886,Matthew,Lennon,Malta,NY,0:39:49,Capital Bicycle Racing Club
105,156799,William,Bonin,Hampton,CT,0:40:07,Storrs center cycle racing
106,41648,Oscar,Yeh,Medford,MA,0:40:08,Keep It Tight
107,466253,Alex,Dietrich,West Point,NY,0:40:37,West Point Cycling Team
108,203000,Lawrence,Purtill,Narragansett,RI,0:40:39,Stedmans Bicycle Co
109,301103,William,Morgan,Vestal,NY,0:40:46,311/Creative Nutrition Solutions
110,438008,Jim,Murphy,Amhesrt,NH,0:40:47,State 9 Racing p/b Vittoria
111,457072,Kevin,Danis,Linwood,MA,0:40:53,
112,489305,Glenn,Cunniff,Mansfield,MA,0:41:01,
113,481740,Clifford,Drawbridge,Bristol,RI,0:41:13,RCC
114,322532,Jesse,Hammond,Watertown,MA,0:41:19,
115,519398,Timothy,Dow,Chatham,MA,0:41:29,Boulder Cycle Sports Velo
116,488394,Howard,Weiss,Brookline,MA,0:42:01,
117,327702,Charles,Schwartz,New York,NY,0:42:12,Cycle-Smart
118,212992,Robert,Rood,Bellingham,MA,0:42:16,Sheldonville Bicycle
119,266366,Michael,McCabe,Whitman,MA,0:42:54,bikebarnracing.com
120,457859,Mark,ONeill,Providence,RI,0:43:02,
121,174103,Chris,Shardlow,Wakefield,RI,0:43:17,
122,457148,Warren,Angell,Chepachet,RI,0:43:24,
123,487182,Corbin,Simone,Quincymass,MA,0:44:15,Sea Sports Hyannis
124,449019,River,Williams,Cummington,MA,0:45:40,Joe's Garage
125,487103,Luke,Knisley,Canton,CT,lapped,UVM Cycling
126,0,justin,massa,,,lapped,
DQ,448905,Charles,Mandel,Burlington,VT,DQ,UVM Cycling
DNF,391756,Timothy,Myers,Grafton,MA,DNF,Blue Hills Cycling Club
DNF,295222,Gregory,Felker,Hillsborough,NJ,DNF,RIT Cycling
DNF,221144,Gene,Henry,New City,NY,DNF,Columbia University
DNF,304969,Tom,Rogers,Keene,NH,DNF,Elm City Velo p/b Andy's Cycle
DNF,181940,Charles,Tarbay,Altamont,NY,DNF,HRRT
DNF,427742,Peter,Daniels,Norton,MA,DNF,Boston University

12/06/2015 Cyclo-cross Men Cat 1/2/3 15-18 35-99
Place,License #,First,Last,City,State,Time,Team
1,333300,Lane,Maher,Harwinton,CT,0:46:41,RACE CF
2,290750,Kevin,Goguen,Hopedale,MA,0:46:48,RACE CF
3,302632,Joshua,Anderson,Topsfield,MA,0:46:49,Riverside Racing
4,439303,Gaelen,Kilburn,Burlington,VT,0:46:51,Cyclocrossworld.com Devo
5,35613,Matthew,Timmerman,Fulton,NY,0:47:28,Cannondale
6,64243,Michael,Yozell,Emmaus,PA,0:47:52,Lamprey Systems
7,162934,Daniel,Larino,Neschanic Sta,NJ,0:48:04,Century Road Club of America / V5 Cycles
8,337556,Sam,Noel,Shelburne,VT,0:48:11,CyclocrossWorld.com Devo Team
9,247966,Robert,Stine Jr,West Warwick,RI,0:48:11,New England Cycling Team p/b NESS
