Race of the West in Ferndale FL Results

04/19/2015 Cross Country Men 04 XC 10
Place,License #,First,Last,City,State,Time,Team
22,0,KAYE,DAN,,,,

04/19/2015 Cross Country Men Cat 3 XC
Place,License #,First,Last,City,State,Time,Team
11,0,Alex,Goncalves,,,,

04/19/2015 Cross Country Men Cat 3 XC 4
Place,License #,First,Last,City,State,Time,Team
11,0,Bruno,Lopes,,,,

04/19/2015 Cross Country Men Cat 2 XC
Place,License #,First,Last,City,State,Time,Team
47,0,Brain,Marshall,,,,

04/19/2015 Cross Country Women Cat 1 XC
Place,License #,First,Last,City,State,Time,Team
20,0,SILLARO,ALYSSA,,,,

02/01/2015 Road Race Men Pro/Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,177906,David,Guttenplan,Clearwater,FL,3:31:13,SeaSucker / Guttenplan Coaching
1,177906,David,Guttenplan,Clearwater,FL,3:31:13,SeaSucker / Guttenplan Coaching
1,177906,David,Guttenplan,Clearwater,FL,3:31:13,SeaSucker / Guttenplan Coaching
2,381975,Ruben,Companioni,Miami,FL,3:31:13,UCI CT: Jamis Hagens Berman
2,381975,Ruben,Companioni,Miami,FL,3:31:13,UCI CT: Jamis Hagens Berman
2,381975,Ruben,Companioni,Miami,FL,3:31:13,UCI CT: Jamis Hagens Berman
3,311519,Steven,Perezluha,Longwood,FL,3:31:20,Isagenix / SeaSucker / Guttenplan Coaching
3,311519,Steven,Perezluha,Longwood,FL,3:31:20,Isagenix / SeaSucker / Guttenplan Coaching
3,311519,Steven,Perezluha,Longwood,FL,3:31:20,Isagenix / SeaSucker / Guttenplan Coaching
4,305523,Fredd,Matute,Oviedo,FL,3:31:37,Performance Team by Rossetti
4,305523,Fredd,Matute,Oviedo,FL,3:31:37,Performance Team by Rossetti
4,305523,Fredd,Matute,Oviedo,FL,3:31:37,Performance Team by Rossetti
5,296605,Michael,Hernandez,Clermont,FL,3:32:14,Hot Tubes Development Cycling Team Inc.
5,296605,Michael,Hernandez,Clermont,FL,3:32:14,Hot Tubes Development Cycling Team Inc.
5,296605,Michael,Hernandez,Clermont,FL,3:32:14,Hot Tubes Development Cycling Team Inc.
6,280746,Rolly,Weaver,Ormond Beach,FL,3:32:14,Pioneer Mortgage pb Yourkey.com
6,280746,Rolly,Weaver,Ormond Beach,FL,3:32:14,Pioneer Mortgage pb Yourkey.com
6,280746,Rolly,Weaver,Ormond Beach,FL,3:32:14,Pioneer Mortgage pb Yourkey.com
7,252844,Derek,Schanze,Gainesville,FL,3:32:15,Isagenix / SeaSucker / Guttenplan Coaching
7,252844,Derek,Schanze,Gainesville,FL,3:32:15,Isagenix / SeaSucker / Guttenplan Coaching
7,252844,Derek,Schanze,Gainesville,FL,3:32:15,Isagenix / SeaSucker / Guttenplan Coaching
8,387697,Owen,Shott,Jacksonville Beach,FL,3:32:38,VeloBrew Cycling Club
8,387697,Owen,Shott,Jacksonville Beach,FL,3:32:38,VeloBrew Cycling Club
8,387697,Owen,Shott,Jacksonville Beach,FL,3:32:38,VeloBrew Cycling Club
9,399599,Christopher,Collins,Lakeland,FL,3:39:36,
9,399599,Christopher,Collins,Lakeland,FL,3:39:36,
9,399599,Christopher,Collins,Lakeland,FL,3:39:36,
10,280726,Patrick,Sansbury,Deerfield Beach,FL,3:39:36,Recio Racing
10,280726,Patrick,Sansbury,Deerfield Beach,FL,3:39:36,Recio Racing
10,280726,Patrick,Sansbury,Deerfield Beach,FL,3:39:36,Recio Racing
11,360213,James,Thompson,Tallahassee,FL,3:39:37,RedEye Velo
11,360213,James,Thompson,Tallahassee,FL,3:39:37,RedEye Velo
11,360213,James,Thompson,Tallahassee,FL,3:39:37,RedEye Velo
12,208086,Yosvany,Falcon,Miami,FL,3:39:39,Stradalli Cycle~Safftti Smart Wear
12,208086,Yosvany,Falcon,Miami,FL,3:39:39,Stradalli Cycle~Safftti Smart Wear
