Rockburn Cross in Elkridge MD Results

11/15/2015 Cyclo-cross Men Cat 1/2/3/4/5 Single Speed
Place,License #,First,Last,City,State,Time,Team
1,226484,CRAIG,ETHERIDGE,Baltimore,MD,0:41:53.090,NUUN/HODALA!
2,256984,ADAM,DRISCOLL,Catonsville,MD,0:42:35.558,ADVENTURES FOR THE C
3,0,CHRIS,BECK,,,0:42:41.755,JBS
4,226918,Jonathan,Gdowik,Baltimore,MD,0:43:48.848,RACE PACE
5,286646,DAN,ATKINS,Baltimore,MD,0:44:58.917,RACE PACE BICYCLES
6,277204,PATRICK,BLAIR,Catonsville,MD,0:45:31.254,ADVENTURES FOR THE C
7,358552,LARRY,MILLER,Alexandria ,VA,0:45:40.164,CROSSHAIRS
8,384022,VIJAY,RAJU,Silver Spring,MD,0:45:44.550,SPORTIF COACHING GRO
9,82690,TONY,DOLL,Dallastown,PA,0:46:05.019,THE BIKE SHAK CYCLIN
10,4962,BENTLEY,BROOKS,Washington,DC,0:47:34.217,CROSSHAIRS CYCLING P
11,237084,MARK,CAVEY,Owings Mills,MD,0:47:50.517,CROSSHAIRS CYCLING P
12,254888,GEORGE,BRANYAN,Silver Spring,MD,0:47:51.680,ROUTE 1 VELO/ARROW B
13,302120,AUGGIE,PLITT,Bel Air,MD,0:48:14.044,JAMSQUAD CYCLING P/B
14,360387,JONAH,MERRIAM,Washington,DC,0:39:12.972,CROSSHAIRS CYCLING P
15,221655,STU,LOUDER,Richmond,VA,0:39:14.973,CUTAWAY P/B BLACKHAN
16,433896,RON,HERMANN,Bel Air,MD,0:39:18.707,ADVENTURES FOR THE C
17,102121,DAVID,HEWES,Baltimore,MD,0:39:54.088,THE HUB/C'VILLEBIKES
18,390941,MATTHEW,AUNE,Annandale,VA,0:40:29.606,NCVC/UNITEDHEALTHCAR
19,246471,PETE,VAN RIPER,Hyattsville,MD,0:40:33.268,ROUTE 1 VELO/ARROW B
20,400473,CALEB,OLIVER,Salisbury,MD,0:40:55.795,OCEAN VELO CLUB/CULV
21,489406,PAUL,KRIEWALD,Millersville,MD,0:41:04.745,
22,390745,DAVE,PROVINE,Millersville,MD,0:41:37.437,SPORTIF COACHING GRO
23,454821,STEPHEN,HEUSER,Washington,DC,0:42:02.911,
24,321868,SHAUNA,SWEET,Washington,DC,0:42:38.506,CROSSHAIRS CYCLING P
25,0,UNKNOWN,RIDER,,,0:42:57.951,
26,60194,JONATHAN,SEIBOLD,Crofton,MD,0:43:32.593,FAMILY BIKE SHOP/DCM
27,493441,Randall,Jones,Columbia,MD,0:45:27.631,SELF
28,269924,JORGE,BRITO,Philadelphia,PA,0:46:57.125,TEAM BEER PHILA CYCL
DNF,308136,ALEXANDER,MCRAE,Delmar,MD,0:17:24.920,OCEAN VELO CLUB/CULV

11/15/2015 Cyclo-cross Men Cat 1/2/3/4/5 Juniors 15-18
Place,License #,First,Last,City,State,Time,Team
1,384026,BENJAMIN,HARRIS,Bethesda,MD,0:45:48.163,ROCK CREEK VELO
2,360992,OWEN,BRENNEMAN,York,PA,0:47:43.783,NUTS ABOUT GRANOLA/
3,434181,MAX,PULONE,Ellicott City,MD,0:48:07.780,BALTIMORE YOUTH CYCL
4,477554,ANDREW,NELSON,Mc Lean,VA,0:48:24.071,NCVC/UNITEDHEALTHCAR
5,366331,GENTRY,JEFFERSON,Hagerstown,MD,0:49:40.971,ANTIETAM VELO CLUB
6,360067,MARCUS,PROVINE,Millersville,MD,0:50:08.219,BIKE DOCTOR/BAYSIDE
7,388185,SEBASTIAN,SILBERMAN,Clarksville,MD,0:50:08.456,KELLY BENEFIT STRATE
8,376563,SAMUEL,KRISTY,Montclair,VA,0:50:32.064,ENDORPHIN FITNESS JU
9,383942,JOSHUA,TOWNES,Bethesda,MD,0:50:49.939,ROCK CREEK VELO
10,390412,ALEX,KASCH,Arlington,VA,0:51:19.158,NCVC/UNITEDHEALTHCAR
11,408084,BRANDON,CARBONI,Bethesda,MD,0:51:35.252,ROCK CREEK VELO
12,340302,AIDAN,DIXON,Silver Spring,MD,0:53:06.435,ROCK CREEK VELO
13,414431,ALEXANDER,ALFANO,Knoxville,MD,0:41:52.586,CROSSHAIRS CYCLING P
14,414139,CALEB,LACEY,Parkville,MD,0:42:11.371,BALTIMORE YOUTH CYCL
15,454850,CHRISTOPHER,NEUREITER,Arlington,VA,0:42:59.000,NCVC/UNITEDHEALTHCAR
16,390579,ANDREW,STROHMEYER,Mount Airy,MD,0:43:47.160,SPORTIF/PATAPSCO BIC
17,487411,MATTHEW,HOURIHAN,Columbia,MD,0:45:20.573,BALTIMORE YOUTH CYCL
18,486457,LUCA,GREENSPUN,Bethesda,MD,0:47:32.753,ROCK CREEK VELO
19,485906,JACOB,SINGLETON,Ellicott City,MD,0:50:32.474,BALTIMORE YOUTH CYCL
20,449141,ANSEL,CASPER,Woodstock,MD,0:51:47.895,HPC

11/15/2015 Cyclo-cross Men Cat 1/2/3/4/5 Masters 55-99
Place,License #,First,Last,City,State,Time,Team
1,52033,CURTIS,SOUTHERN,Frederick,MD,0:44:56.166,NCVC
2,136767,JOHN,ROGERS,Takoma Park,MD,0:46:18.140,DCMTB
3,30526,RANDALL,ROOT,Sterling,VA,0:46:33.204,EVOLUTION CYCLING CL
4,45276,SHAWN,DOWNING,Baltimore,MD,0:47:56.643,C3-TWENTY20 CYCLING
5,155245,MICHAEL,ZOELLER,Washington,DC,0:48:08.583,CROSSHAIRS CYCLING P
6,76271,MIKE,CONNAIR,Elkton,MD,0:48:49.905,BIKE LINE
7,123134,ERIC,SLOMAN,Ashburn,VA,0:48:57.078,BICYCLE OUTFITTERS R
8,47239,KEVIN,DOLAN,Cockeysville,MD,0:49:44.648,KELLY BENEFITS STRAT
9,48634,JIM,BRONSON,Gaithersburg,MD,0:50:07.717,SPORTIF/PATAPSCO BIK
10,102572,JIM,KLENDER,Ellicott City,MD,0:50:18.198,ADVENTURES FOR THE C
11,283545,STEVE,KLOSE,Ellicottcity,MD,0:50:30.875,ADVENTURES FOR THE C
12,279935,MARK,SOLBERG,Havre De Grace,MD,0:52:05.883,JAMSQUAD CYCLING P/B
13,294856,MICHAEL,WYNNYK,Bowie,MD,0:40:59.970,CROSSHAIRS CYCLING P
14,340430,LOREN,YAGER,Bethesda,MD,0:42:00.880,ROCK CREEK VELO
15,45753,BRUCE,OLIVER,Vienna,VA,0:42:24.842,NCVC/UNITEDHEALTHCAR
16,481255,ROBERT,TAYLOR,Monrovia,MD,0:42:29.109,GLENELG GANG
17,10134,GARY,DUGOVICH,Monaca,PA,0:43:06.087,BEAVER VALLEY VELO
18,275682,Barry,Wilcox II,Olney,MD,0:44:39.652,ROCK CREEK VELO
