North Star Grand Prix in Various MN Results

06/21/2015 Criterium Men Pro/Cat 1 Nrc Stage
Place,License #,First,Last,City,State,Time,Team
1,394218,Fabrizio,VonNacher,Tustin,CA,1:23:00,KHS - Maxxis-JL Velo*
2,477636,Ben,Hill,,,1:23:00,Donkey Label Racing
3,342402,Kevin,Girkins,Austin,TX,1:23:06,ELBOWZ Racing*
4,430915,William,Routley,,,1:23:08,Team Optum p/b Kelly Benefit Strategies*
5,338708,Colin,Strickland,Austin,TX,1:23:08,ELBOWZ Racing*
6,432436,Ryan,Anderson,,,1:23:08,Team Optum p/b Kelly Benefit Strategies*
7,185877,Chris,Barton,Ojai,CA,1:23:08,KHS - Maxxis-JL Velo*
8,477743,Nicolae,Tanovitchii,,,1:23:08,Jelly Belly p/b Maxxis*
9,189118,Morgan,Schmitt,Seattle,WA,1:23:08,Canyon Bicycles - Shimano
10,303586,Tobin,Ortenblad,Santacruz,CA,1:23:08,California Giant Berry Farms/Specialized*
11,197714,Joseph,Schmalz,Lawrence,KS,1:23:08,Hincapie Racing Team*
12,254826,Andrew,Hemesath,Colorado Springs ,CO,1:23:08,The Colorado Collective
13,288624,Jon,Hornbeck,Temecula,CA,1:23:08,Hincapie Racing Team*
14,459540,Alexander,Braico,Golden,CO,1:23:08,Jelly Belly p/b Maxxis*
15,209308,Tom,Zirbel,Boulder,CO,1:23:08,Team Optum p/b Kelly Benefit Strategies*
16,243416,Mac,Brennan,Greenville,SC,1:23:08,Hincapie Racing Team*
17,477870,Jake,Magee,Boulder ,CO,1:23:08,Donkey Label Racing
18,233175,Josh,Yeaton,Boulder,CO,1:23:08,GS Ciao Cycling*
19,294220,Andrew,Clemence,Tucson,AZ,1:23:15,The Colorado Collective
20,288007,Drew,Christopher,Denver,CO,1:23:15,Champion System-Stan's NoTubes*
21,280764,Timothy,Rugg,Tucson,AZ,1:23:15,GS Ciao Cycling*
22,321012,Kaler,Marshall,Stanford,CA,1:23:15,Canyon Bicycles - Shimano
23,294912,Zeke,Mostov,San Francisco,CA,1:23:15,California Giant Berry Farms/Specialized*
24,0,Kevin,Mollervy,,,1:23:19,Champion System-Stan's NoTubes*
25,150540,Eric,Thompson,Shoreview,MN,1:23:19,Donkey Label Racing
26,245537,Tony,Olson,Boulder,CO,1:23:19,Grand Performance
27,188572,Andrew,Dahlheim,Greenville,SC,1:23:23,Canyon Bicycles - Shimano
28,254025,Robin,Eckmann,Boulder,CO,1:24:13,GS Ciao Cycling*
29,0,Jean-Michel,Lachance,,,1:24:22,Grand Performance
30,244277,Neal,Shepherd,Boulder,CO,1:24:49,The Colorado Collective
31,292813,Marcos,Lazzarotto,Oxnard,CA,1:24:51,BATTLEY H-D /Spokes Etc p/b District Taco
32,289623,Martin,Vecchio,Detroit,MI,1:24:53,Netherland Rubber p/b MVP
33,335474,Dillon,Caldwell,Bend,OR,1:24:56,Canyon Bicycles - Shimano
34,331782,Gabriel,Baca,Austin,TX,1:24:56,ELBOWZ Racing*
35,169774,Brian,McCulloch,Yucaipa,CA,1:24:56,KHS - Maxxis-JL Velo*
36,499109,Chris,Winn,Lakewood,CO,1:24:56,GS Ciao Cycling*
37,30322,Freddie,Rodriguez,Berkeley,CA,1:25:33,Jelly Belly p/b Maxxis*
38,323876,Michael,Sheehan,Austin,TX,1:25:37,ELBOWZ Racing*
39,131248,Scott,Zwizanski,West Chester,PA,1:25:41,Team Optum p/b Kelly Benefit Strategies*
40,287780,Taylor,Warren,San Diego,CA,1:26:00,The Colorado Collective
41,136696,Stefano,Barberi,Newbury Park,CA,1:32:33,California Giant Berry Farms/Specialized*
42,154883,Jesse,Anthony,Newbury Park,CA,1:32:39,Team Optum p/b Kelly Benefit Strategies*
43,0,Andres,Diaz,,,1:32:39,Incycle-Cannondale Pro Cycling Team
44,299155,Ryan,O'Boyle,Shorewood,IL,1:33:08,Credite Velo
45,111687,Gregory,Wittwer,Richmond,VA,1:33:08,BATTLEY H-D /Spokes Etc p/b District Taco
46,529289,Ulises,Castillo,Beaumont,CA,1:33:08,KHS - Maxxis-JL Velo*
47,183112,Cole,House,Oneida,WI,1:33:08,Isagenix / SeaSucker / Guttenplan Coaching
48,399388,George,Simpson,Fort Collins,CO,1:33:24,GS Ciao Cycling*
49,0,Alberto,Covarrubias,,,1:34:31,Elevate Elite Cycling Team
50,261831,Efren,Flores,San Diego,CA,1:34:31,KHS - Maxxis-JL Velo*
51,311519,Steven,Perezluha,Longwood,FL,1:36:31,Isagenix / SeaSucker / Guttenplan Coaching
52,284095,Greg,Capelle,Catonsville,MD,1:36:31,Isagenix / SeaSucker / Guttenplan Coaching
53,434120,Mehdi,Benhamouda,Alpharetta,GA,1:37:21,Team Novo Nordisk Development
54,298338,Jack,McCann,Cincinnati,OH,1:37:36,Netherland Rubber p/b MVP
55,368403,Jamie,Anderson,Cincinnati,OH,1:37:36,Netherland Rubber p/b MVP
56,345802,Michael,Burleigh,Edgewater ,CO,1:37:36,GS Ciao Cycling*
57,498261,Fabio,Calabria,Alpharetta,GA,1:38:50,Champion System-Stan's NoTubes*
58,0,Bryan,Gomez,,,1:38:50,Champion System-Stan's NoTubes*
59,193722,Alex,Meyer,Minneapolis,MN,1:39:00,Grand Performance
60,220467,Zachary,Felpel,Boone,NC,1:40:25,BATTLEY H-D /Spokes Etc p/b District Taco
61,380188,Matt,McLoone,Washington,DC,1:40:25,BATTLEY H-D /Spokes Etc p/b District Taco
62,205741,Stefan,Rothe,Austin,TX,1:40:25,ELBOWZ Racing*
63,259780,Nathaniel,Beams,Fort Collins,CO,1:40:25,Elevate Elite Cycling Team
64,288716,Dustin,Morici,Saint Charles,IL,1:40:25,Ego p/b Sammy's Bikes
65,333296,Jake,Buescher,Evanston,IL,1:41:46,Ego p/b Sammy's Bikes
66,233166,Jonathan,Toftoy,Eden Prairie,MN,1:42:01,Donkey Label Racing
67,291573,Andrew,Buntz,West Des Moines,IA,1:42:01,Credite Velo
68,371826,Tim,Savre,Glencoe,MN,1:43:37,Credite Velo
69,270997,Robert,Sroka,North Royalton,OH,1:43:37,Netherland Rubber p/b MVP
70,227850,Michael,Woell,Minneapolis,MN,1:44:02,Grand Performance
71,200545,Ross,White,Holmen,WI,1:44:02,Credite Velo
72,177906,David,Guttenplan,Clearwater,FL,1:44:02,Isagenix / SeaSucker / Guttenplan Coaching
73,334878,Eric,Hill,Waukesha,WI,1:46:10,Grand Performance
74,0,Diego,Sandoval,,,1:46:10,Incycle-Cannondale Pro Cycling Team
75,336388,Corey,Davis,Danville,VA,1:46:10,Isagenix / SeaSucker / Guttenplan Coaching
76,231130,Jake,King,North Garden,VA,1:46:10,California Giant Berry Farms/Specialized*
77,359463,Shawn,Wayland,Simi Valley,CA,1:49:13,KHS - Maxxis-JL Velo*
78,271716,Colton,Jarisch,Austin,TX,1:49:53,Elevate Elite Cycling Team
79,102467,Adam,Mills,San Diego,CA,1:49:53,Elevate Elite Cycling Team
80,229709,Carmen,Small,Durango,CO,1:49:53,ELBOWZ Racing*

06/21/2015 Stage Race Men Pro/Cat 1 KOM
Place,License #,First,Last,City,State,Time,Team
1,342402,Kevin,Girkins,Austin,TX,40,ELBOWZ Racing*
2,477636,Ben,Hill,,,17,Donkey Label Racing
3,394218,Fabrizio,VonNacher,Tustin,CA,16,KHS - Maxxis-JL Velo*
4,529289,Ulises,Castillo,Beaumont,CA,13,KHS - Maxxis-JL Velo*
5,183112,Cole,House,Oneida,WI,10,Isagenix / SeaSucker / Guttenplan Coaching
6,288624,Jon,Hornbeck,Temecula,CA,8,Hincapie Racing Team*
7,459540,Alexander,Braico,Golden,CO,7,Jelly Belly p/b Maxxis*
8,0,Andres,Diaz,,,4,Incycle-Cannondale Pro Cycling Team
9,193722,Alex,Meyer,Minneapolis,MN,4,Grand Performance
10,477743,Nicolae,Tanovitchii,,,1,Jelly Belly p/b Maxxis*
11,197714,Joseph,Schmalz,Lawrence,KS,1,Hincapie Racing Team*
12,0,Jean-Michel,Lachance,,,1,Grand Performance

06/21/2015 Stage Race Men Pro/Cat 1 NRC 2
Place,License #,First,Last,City,State,Time,Team
1,209308,Tom,Zirbel,Boulder,CO,10.24'43,Team Optum p/b Kelly Benefit Strategies*
2,243416,Mac,Brennan,Greenville,SC,10.25'06,Hincapie Racing Team*
3,477743,Nicolae,Tanovitchii,,,10.25'11,Jelly Belly p/b Maxxis*
4,189118,Morgan,Schmitt,Seattle,WA,10.25'13,Canyon Bicycles - Shimano
5,288624,Jon,Hornbeck,Temecula,CA,10.25'16,Hincapie Racing Team*
6,321012,Kaler,Marshall,Stanford,CA,10.25'31,Canyon Bicycles - Shimano
7,459540,Alexander,Braico,Golden,CO,10.25'59,Jelly Belly p/b Maxxis*
8,233175,Josh,Yeaton,Boulder,CO,10.26'16,GS Ciao Cycling*
9,197714,Joseph,Schmalz,Lawrence,KS,10.30'46,Hincapie Racing Team*
10,477636,Ben,Hill,,,10.33'55,Donkey Label Racing
11,432436,Ryan,Anderson,,,10.34'23,Team Optum p/b Kelly Benefit Strategies*
12,338708,Colin,Strickland,Austin,TX,10.34'31,ELBOWZ Racing*
13,185877,Chris,Barton,Ojai,CA,10.34'34,KHS - Maxxis-JL Velo*
14,342402,Kevin,Girkins,Austin,TX,10.34'35,ELBOWZ Racing*
15,303586,Tobin,Ortenblad,Santacruz,CA,10.34'37,California Giant Berry Farms/Specialized*
16,294220,Andrew,Clemence,Tucson,AZ,10.34'49,The Colorado Collective
17,150540,Eric,Thompson,Shoreview,MN,10.34'51,Donkey Label Racing
18,294912,Zeke,Mostov,San Francisco,CA,10.34'52,California Giant Berry Farms/Specialized*
19,394218,Fabrizio,VonNacher,Tustin,CA,10.35'06,KHS - Maxxis-JL Velo*
20,254826,Andrew,Hemesath,Colorado Springs ,CO,10.35'09,The Colorado Collective
21,188572,Andrew,Dahlheim,Greenville,SC,10.35'24,Canyon Bicycles - Shimano
22,245537,Tony,Olson,Boulder,CO,10.36'13,Grand Performance
23,401945,JeanMichel,Lachance,,,10.36'19,Grand Performance
24,430915,William,Routley,,,10.36'19,Team Optum p/b Kelly Benefit Strategies*
25,499109,Chris,Winn,Lakewood,CO,10.36'55,GS Ciao Cycling*
26,131248,Scott,Zwizanski,West Chester,PA,10.37'03,Team Optum p/b Kelly Benefit Strategies*
27,331782,Gabriel,Baca,Austin,TX,10.37'04,ELBOWZ Racing*
28,254025,Robin,Eckmann,Boulder,CO,10.37'13,GS Ciao Cycling*
29,289623,Martin,Vecchio,Detroit,MI,10.37'52,Netherland Rubber p/b MVP
30,292813,Marcos,Lazzarotto,Oxnard,CA,10.38'04,BATTLEY H-D /Spokes Etc p/b District Taco
31,169774,Brian,McCulloch,Yucaipa,CA,10.38'47,KHS - Maxxis-JL Velo*
32,0,Andres,Diaz,,,10.38'55,Incycle-Cannondale Pro Cycling Team
33,30322,Freddie,Rodriguez,Berkeley,CA,10.38'59,Jelly Belly p/b Maxxis*
34,0,Bryan,Gomez,,,10.41'30,Champion System-Stan's NoTubes*
35,280764,Timothy,Rugg,Tucson,AZ,10.42'51,GS Ciao Cycling*
36,154883,Jesse,Anthony,Newbury Park,CA,10.44'04,Team Optum p/b Kelly Benefit Strategies*
37,399388,George,Simpson,Fort Collins,CO,10.44'57,GS Ciao Cycling*
38,244277,Neal,Shepherd,Boulder,CO,10.45'28,The Colorado Collective
39,111687,Gregory,Wittwer,Richmond,VA,10.45'49,BATTLEY H-D /Spokes Etc p/b District Taco
40,183112,Cole,House,Oneida,WI,10.48'02,Isagenix / SeaSucker / Guttenplan Coaching
41,284095,Greg,Capelle,Catonsville,MD,10.48'37,Isagenix / SeaSucker / Guttenplan Coaching
42,299155,Ryan,O'Boyle,Shorewood,IL,10.49'27,Credite Velo
43,0,Alberto,Covarrubias,,,10.50'34,Elevate Elite Cycling Team
44,311519,Steven,Perezluha,Longwood,FL,10.50'41,Isagenix / SeaSucker / Guttenplan Coaching
45,498261,Fabio,Calabria,Alpharetta,GA,10.50'57,Champion System-Stan's NoTubes*
46,529289,Ulises,Castillo,Beaumont,CA,10.51'24,KHS - Maxxis-JL Velo*
47,205741,Stefan,Rothe,Austin,TX,10.51'49,ELBOWZ Racing*
48,323876,Michael,Sheehan,Austin,TX,10.51'55,ELBOWZ Racing*
49,288716,Dustin,Morici,Saint Charles,IL,10.52'32,Ego p/b Sammy's Bikes
50,298338,Jack,McCann,Cincinnati,OH,10.53'17,Netherland Rubber p/b MVP
51,193722,Alex,Meyer,Minneapolis,MN,10.55'33,Grand Performance
52,259780,Nathaniel,Beams,Fort Collins,CO,10.55'43,Elevate Elite Cycling Team
53,261831,Efren,Flores,San Diego,CA,10.55'57,KHS - Maxxis-JL Velo*
54,136696,Stefano,Barberi,Newbury Park,CA,10.57'07,California Giant Berry Farms/Specialized*
55,231130,Jake,King,North Garden,VA,10.58'30,California Giant Berry Farms/Specialized*
56,291573,Andrew,Buntz,West Des Moines,IA,10.58'33,Credite Velo
57,336388,Corey,Davis,Danville,VA,10.59'17,Isagenix / SeaSucker / Guttenplan Coaching
58,477870,Jake,Magee,Boulder ,CO,10.59'48,Donkey Label Racing
59,270997,Robert,Sroka,North Royalton,OH,10.59'58,Netherland Rubber p/b MVP
60,0,Kevin,Mollervy,,,11.00'00,Champion System-Stan's NoTubes*
61,335474,Dillon,Caldwell,Bend,OR,11.05'01,Canyon Bicycles - Shimano
62,380188,Matt,McLoone,Washington,DC,11.08'01,BATTLEY H-D /Spokes Etc p/b District Taco
63,288007,Drew,Christopher,Denver,CO,11.09'46,Champion System-Stan's NoTubes*
64,345802,Michael,Burleigh,Edgewater ,CO,11.11'34,GS Ciao Cycling*
65,368403,Jamie,Anderson,Cincinnati,OH,11.12'13,Netherland Rubber p/b MVP
66,177906,David,Guttenplan,Clearwater,FL,11.21'12,Isagenix / SeaSucker / Guttenplan Coaching
67,0,Diego,Sandoval,,,11.24'24,Incycle-Cannondale Pro Cycling Team
68,287780,Taylor,Warren,San Diego,CA,11.25'12,The Colorado Collective
69,271716,Colton,Jarisch,Austin,TX,11.31'00,Elevate Elite Cycling Team
70,434120,Mehdi,Benhamouda,Alpharetta,GA,11.38'10,Team Novo Nordisk Development
