Chappell Hill Bank Classic in Chappell Hill TX Results

09/11/2016 Road Race Men Cat 1/2/3/4/5 Masters 60+
Place,License #,First,Last,City,State,Time,Team
1,45045,Thomas,Bain,San Antonio,TX,,
2,66479,Frank,Kurzawa,Austin,TX,,
3,334312,Val,Lincecum,Katy,TX,,
4,138637,John,Bartle,Austin,TX,,
5,45425,Michael,Haney,Austin,TX,,
6,277905,William,Neale,Austin,TX,,
7,241076,Hill,Swift,Houston,TX,,
8,46371,William,Allen,College Station,TX,,
9,57843,Patrick,Galvin,Dallas,TX,,
10,298297,Richard,Neill,Fort Worth,TX,,

09/11/2016 Road Race Men Cat P/1/2
Place,License #,First,Last,City,State,Time,Team
1,323876,Michael,Sheehan,Austin,TX,,
2,342402,Kevin,Girkins,Austin,TX,,
3,255591,Jonathan,Brown,Covington,TN,,
4,147032,Allen,Abell,New Braunfels,TX,,
5,380276,Grayson,Keppler,Dallas,TX,,
6,394218,Fabrizio,VonNacher,Tustin,CA,,
7,338708,Colin,Strickland,Austin,TX,,
8,254929,Michael,Pincus,Pearland,TX,,
9,187231,Mason,Quintana,Austin,TX,,
10,260177,Jeffrey,Henry,Carrollton,TX,,
11,432787,David,Tolley,Austin,TX,,
12,419456,Maximilian,Hall,Austin,TX,,
13,458132,Michael,Krutak,College Station,TX,,
14,387450,Evan,Bausbacher,Richardson,TX,,
15,367809,Christian,Newton,Friendswood,TX,,
17,276837,James,Day,Austin,TX,,
18,305126,Austin,Mallet,Spring,TX,,
19,353980,Enoc,Ishida,Cedar Hill,TX,,
20,354988,Paul,Abel,Austin,TX,,
21,287196,John,Martin,Houston,TX,,
22,122096,Jimmy,Miller,Austin,TX,,
23,240838,John,Ryan,North Richland Hills,TX,,
24,308149,Adam,McCullough,Houston,TX,,
25,283142,Alex,Joseph,Houston,TX,,
26,405960,Nicholas,Minnery,The Woodlands,TX,,
27,184888,Daniel,Mahoney,Austin,TX,,
28,347742,Aaron,Wade,Austin,TX,,
29,266799,Jason,Codianne,Missouri City,TX,,
30,395314,Michael,Mull,Austin,TX,,
31,344182,Maner,Shaw,Midland,TX,,
32,316954,Paul,Carty,Austin,TX,,
33,80049,Alex,Rodriguez,Round Rock,TX,,
34,361257,Michael,Reyna,Austin,TX,,
35,228673,Felix,Guardado,Katy,TX,,
36,412090,Preston,Glace,Cedar Park,TX,,
37,438772,Christopher,Hanson,Austin,TX,,
38,88336,Vince,Dietsch,Austin,TX,,
39,420701,Vitor,Zucco Schizzi,Irving,TX,,
40,342580,Isaac,Porterfield,Bertram,TX,,
41,387057,Brady,Reed,Magnolia,TX,,
42,227547,Devin,Carroll,Austin,TX,,
43,297642,John,Cutbirth,Austin,TX,,
44,157827,Corey,Ray,Mckinney,TX,,
45,412428,Jeremy,Schwab,Houston,TX,,
46,297166,Erique,Williams,Houston,TX,,
47,319214,Grant,Koontz,Spring,TX,,
48,337210,Patrick,Hallett,Austin,TX,,
49,354880,Tyler,Stewart,Austin,TX,,
50,153504,Mark,Niiro,Dallas,TX,,
51,357344,Alex,Gonzalez,Cedar Park,TX,,
52,437999,Austin,Robertson,San Marcos,TX,,
53,393684,William,Martin,Nacogdoches,TX,,
54,377614,Davis,Dombrowski,Mesquite,TX,,
55,412811,Kyle,Swanson,Fort Worth,TX,,
56,279653,Beau,Edwards,West Lake Hills ,TX,,
57,260618,Kent,Myers,Austin,TX,,
58,368834,David,Ross,San Marcos,TX,,
59,310983,Tice,Porterfield,Bertram,TX,,
60,222979,Abdias Benjamin,Hernandez,Houston,TX,,
61,89282,David,Wenger,Austin,TX,,
DNF,59355,Felipe,Nava,San Antonio,TX,,
DNF,326698,Jaime,Olmo,Houston,TX,,
DNF,295212,Jordan,Oroshiba,Austin,TX,,
DNF,418085,Michael,Jones,Austin,TX,,

09/11/2016 Road Race Men Cat 4/5 Junior
Place,License #,First,Last,City,State,Time,Team
